date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jul 11 2014,2014-07-11,4.557,,,,1.282284126266246,0.4642089017576902,1.0815833786331193,36,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 12 2014,2014-07-12,3.387,0.8273149339882611,0.827314933988261,0.8273149339882611,1.282284126266246,0.4642089017576902,1.0815833786331193,46,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 13 2014,2014-07-13,3.071,0.7828316123748029,0.9337969486984025,0.7828316123748029,1.282284126266246,0.4642089017576902,1.0815833786331193,49,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 14 2014,2014-07-14,2.95,0.7339965372307059,0.9859175202594712,0.7339965372307059,1.282284126266246,0.4642089017576902,1.0815833786331193,42,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 15 2014,2014-07-15,2.723,0.7225681974734289,1.0486400428124258,0.7225681974734289,1.282284126266246,0.4642089017576902,1.0815833786331193,49,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 16 2014,2014-07-16,2.856,0.6755296193851658,1.0508276898270401,0.6755296193851658,1.282284126266246,0.4642089017576902,1.0815833786331193,44,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 17 2014,2014-07-17,2.696,0.6521480988679972,1.0673714912748071,0.6521480988679972,1.282284126266246,0.4642089017576902,1.0815833786331193,51,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 18 2014,2014-07-18,2.592,0.638231485098807,1.0847002456912649,0.638231485098807,1.282284126266246,0.4642089017576902,1.0815833786331193,49,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 19 2014,2014-07-19,2.592,0.6209260109796587,1.0898442027302615,0.6209260109796587,1.282284126266246,0.4642089017576902,1.0815833786331193,43,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 20 2014,2014-07-20,2.419,0.6181930748380945,1.1060176081166904,0.6181930748380945,1.282284126266246,0.4642089017576902,1.0815833786331193,40,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 21 2014,2014-07-21,2.295,0.6222061190196178,1.1247416606520215,0.6222061190196178,1.282284126266246,0.4642089017576902,1.0815833786331193,55,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 22 2014,2014-07-22,2.305,0.6193807941660916,1.1316633715228537,0.6193807941660916,1.282284126266246,0.4642089017576902,1.0815833786331193,60,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 23 2014,2014-07-23,2.418,0.6061322209145207,1.1217008804704396,0.6061322209145207,1.282284126266246,0.4642089017576902,1.0815833786331193,53,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 24 2014,2014-07-24,2.363,0.5958853049902277,1.1126226721136836,0.5958853049902277,1.282284126266246,0.4642089017576902,1.0815833786331193,47,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 25 2014,2014-07-25,2.248,0.5917401939558079,1.1087808889687563,0.5917401939558079,1.282284126266246,0.4642089017576902,1.0815833786331193,45,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 26 2014,2014-07-26,2.3,0.5833653515022411,1.0969267106697396,0.5833653515022411,1.282284126266246,0.4642089017576902,1.0815833786331193,68,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 27 2014,2014-07-27,2.202,0.5794856492158014,1.0890244395613902,0.5794856492158014,1.282284126266246,0.4642089017576902,1.0815833786331193,74,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 28 2014,2014-07-28,2.194,0.5749090976739152,1.078331813687249,0.5749090976739152,1.282284126266246,0.4642089017576902,1.0815833786331193,75,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 29 2014,2014-07-29,2.213,0.5687185605988173,1.0637920286484255,0.5687185605988173,1.282284126266246,0.4642089017576902,1.0815833786331193,63,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 30 2014,2014-07-30,2.128,0.5657977577116924,1.0523502159442077,0.5657977577116924,1.282284126266246,0.4642089017576902,1.0815833786331193,81,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Jul 31 2014,2014-07-31,2.23,0.5581822709644653,1.032936519872457,0.5581822709644653,1.282284126266246,0.4642089017576902,1.0815833786331193,48,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 01 2014,2014-08-01,2.168,0.5526986078164583,1.0157141152078213,0.5526986078164583,1.282284126266246,0.4642089017576902,1.0815833786331193,82,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 02 2014,2014-08-02,2.165,0.5471029160866482,0.9973994286663028,0.5471029160866482,1.282284126266246,0.4642089017576902,1.0815833786331193,86,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 03 2014,2014-08-03,2.201,0.5403057491238011,0.9764368277073585,0.5403057491238011,1.282284126266246,0.4642089017576902,1.0815833786331193,77,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 04 2014,2014-08-04,2.284,0.531659549586638,0.9516706647763811,0.531659549586638,1.282284126266246,0.4642089017576902,1.0815833786331193,71,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 05 2014,2014-08-05,1.97,0.5328712082814991,0.9415308210774167,0.5328712082814991,1.282284126266246,0.4642089017576902,1.0815833786331193,83,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 06 2014,2014-08-06,1.941,0.5342830593088159,0.9308461916783094,0.5342830593088159,1.282284126266246,0.4642089017576902,1.0815833786331193,85,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 07 2014,2014-08-07,1.945,0.5346398914148324,0.917975339594278,0.5346398914148324,1.282284126266246,0.4642089017576902,1.0815833786331193,72,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 08 2014,2014-08-08,1.951,0.5340840670160404,0.9032486192655469,0.5340840670160404,1.282284126266246,0.4642089017576902,1.0815833786331193,89,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 09 2014,2014-08-09,1.985,0.5319368307929272,0.8857838600006465,0.5319368307929272,1.282284126266246,0.4642089017576902,1.0815833786331193,83,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 10 2014,2014-08-10,1.873,0.363511584978792,0.8727346108018413,0.532989672881051,1.282284126266246,0.4642089017576902,1.0815833786331193,84,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 11 2014,2014-08-11,1.922,0.31537982938293585,0.8561070193726612,0.5318537878147561,1.282284126266246,0.4642089017576902,1.0815833786331193,83,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 12 2014,2014-08-12,1.806,0.2934685261864882,0.8440688221346785,0.5339581579055982,1.282284126266246,0.4642089017576902,1.0815833786331193,94,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 13 2014,2014-08-13,1.97,0.2679678420404521,0.8238350889515821,0.5307729069836545,1.282284126266246,0.4642089017576902,1.0815833786331193,81,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 14 2014,2014-08-14,1.899,0.25792921821537795,0.8061130169101377,0.5291921336204032,1.282284126266246,0.4642089017576902,1.0815833786331193,89,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 15 2014,2014-08-15,1.866,0.23389453611187508,0.7892875054801134,0.5281994294786655,1.282284126266246,0.4642089017576902,1.0815833786331193,114,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 16 2014,2014-08-16,1.928,0.21582395177764746,0.7697844527137051,0.5254634876724331,1.282284126266246,0.4642089017576902,1.0815833786331193,118,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 17 2014,2014-08-17,1.662,0.21630879640527717,0.7616676786945618,0.5298850710087538,1.282284126266246,0.4642089017576902,1.0815833786331193,98,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 18 2014,2014-08-18,1.687,0.21048607128952113,0.7506089477590489,0.5326930067179484,1.282284126266246,0.4642089017576902,1.0815833786331193,97,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 19 2014,2014-08-19,1.774,0.20807895550520905,0.7346574064872307,0.5325228681739457,1.282284126266246,0.4642089017576902,1.0815833786331193,92,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 20 2014,2014-08-20,1.827,0.20763641133083013,0.716465124113994,0.5308452452365419,1.282284126266246,0.4642089017576902,1.0815833786331193,96,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 21 2014,2014-08-21,1.722,0.20997437172571815,0.7020553514426883,0.5314046498275158,1.282284126266246,0.4642089017576902,1.0815833786331193,107,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 22 2014,2014-08-22,1.767,0.201765395230809,0.6854988448414114,0.5305851885450944,1.282284126266246,0.4642089017576902,1.0815833786331193,118,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
Aug 23 2014,2014-08-23,1.696,0.19782258392975402,0.6714188049159682,0.5311562798814542,1.282284126266246,0.4642089017576902,1.0815833786331193,129,USP-S | Blood Tiger,USP-S,Blood Tiger,Field-Tested,1,1,0
