date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,132.006,4,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 13 2014,2014-06-13,82.903,10,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 14 2014,2014-06-14,87.82,5,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 15 2014,2014-06-15,60.459,7,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 16 2014,2014-06-16,54.462,6,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 17 2014,2014-06-17,46.477,10,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 18 2014,2014-06-18,42.079,12,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 19 2014,2014-06-19,40.331,9,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 20 2014,2014-06-20,33.867,11,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 21 2014,2014-06-21,39.205,7,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 22 2014,2014-06-22,28.371,11,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 23 2014,2014-06-23,28.844,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 24 2014,2014-06-24,29.822,7,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 25 2014,2014-06-25,33.027,14,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 26 2014,2014-06-26,36.721,6,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 27 2014,2014-06-27,35.268,8,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 28 2014,2014-06-28,33.299,7,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 29 2014,2014-06-29,29.836,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jun 30 2014,2014-06-30,29.385,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 01 2014,2014-07-01,30.492,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 02 2014,2014-07-02,25.447,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 03 2014,2014-07-03,24.377,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 04 2014,2014-07-04,26.707,7,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 05 2014,2014-07-05,23.653,28,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 06 2014,2014-07-06,25.56,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 07 2014,2014-07-07,27.613,8,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 08 2014,2014-07-08,23.465,17,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 09 2014,2014-07-09,24.459,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 10 2014,2014-07-10,26.293,17,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 11 2014,2014-07-11,28.553,11,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 12 2014,2014-07-12,25.926,10,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 13 2014,2014-07-13,24.041,20,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 14 2014,2014-07-14,27.027,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 15 2014,2014-07-15,26.493,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 16 2014,2014-07-16,27.106,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 17 2014,2014-07-17,25.53,11,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 18 2014,2014-07-18,24.894,9,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 19 2014,2014-07-19,23.762,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 20 2014,2014-07-20,23.074,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 21 2014,2014-07-21,23.214,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 22 2014,2014-07-22,25.572,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 23 2014,2014-07-23,25.818,14,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 24 2014,2014-07-24,25.135,12,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 25 2014,2014-07-25,28.116,17,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 26 2014,2014-07-26,27.907,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 27 2014,2014-07-27,28.469,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 28 2014,2014-07-28,28.191,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 29 2014,2014-07-29,28.044,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 30 2014,2014-07-30,25.47,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Jul 31 2014,2014-07-31,23.513,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 01 2014,2014-08-01,25.048,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 02 2014,2014-08-02,28.02,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 03 2014,2014-08-03,29.424,24,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 04 2014,2014-08-04,28.828,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 05 2014,2014-08-05,26.297,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 06 2014,2014-08-06,26.346,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 07 2014,2014-08-07,25.83,27,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 08 2014,2014-08-08,27.028,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 09 2014,2014-08-09,27.899,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 10 2014,2014-08-10,25.842,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 11 2014,2014-08-11,26.654,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 12 2014,2014-08-12,25.942,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 13 2014,2014-08-13,28.008,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 14 2014,2014-08-14,25.369,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 15 2014,2014-08-15,26.356,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 16 2014,2014-08-16,27.026,26,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 17 2014,2014-08-17,24.902,20,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 18 2014,2014-08-18,26.005,25,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 19 2014,2014-08-19,24.839,21,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 20 2014,2014-08-20,25.081,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 21 2014,2014-08-21,27.143,14,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 22 2014,2014-08-22,24.78,24,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 23 2014,2014-08-23,26.938,25,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 24 2014,2014-08-24,31.171,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 25 2014,2014-08-25,32.007,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 26 2014,2014-08-26,29.799,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 27 2014,2014-08-27,28.623,31,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 28 2014,2014-08-28,27.928,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 29 2014,2014-08-29,27.661,27,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 30 2014,2014-08-30,29.161,21,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Aug 31 2014,2014-08-31,29.418,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 01 2014,2014-09-01,30.997,27,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 02 2014,2014-09-02,30.628,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 03 2014,2014-09-03,32.237,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 04 2014,2014-09-04,33.495,11,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 05 2014,2014-09-05,32.229,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 06 2014,2014-09-06,34.045,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 07 2014,2014-09-07,30.113,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 08 2014,2014-09-08,30.748,13,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 09 2014,2014-09-09,27.942,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 10 2014,2014-09-10,28.441,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 11 2014,2014-09-11,27.909,23,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 12 2014,2014-09-12,29.096,15,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 13 2014,2014-09-13,26.954,27,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 14 2014,2014-09-14,26.241,24,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 15 2014,2014-09-15,28.089,20,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 16 2014,2014-09-16,30.578,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 17 2014,2014-09-17,29.39,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 18 2014,2014-09-18,28.302,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 19 2014,2014-09-19,26.752,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 20 2014,2014-09-20,28.809,25,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 21 2014,2014-09-21,28.827,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 22 2014,2014-09-22,27.407,25,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 23 2014,2014-09-23,26.698,26,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 24 2014,2014-09-24,28.046,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 25 2014,2014-09-25,24.178,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 26 2014,2014-09-26,25.856,29,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 27 2014,2014-09-27,25.534,24,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 28 2014,2014-09-28,25.252,20,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 29 2014,2014-09-29,23.355,16,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Sep 30 2014,2014-09-30,26.519,24,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 01 2014,2014-10-01,23.625,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 02 2014,2014-10-02,27.119,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 03 2014,2014-10-03,24.548,19,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 04 2014,2014-10-04,25.068,26,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 05 2014,2014-10-05,25.825,21,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 06 2014,2014-10-06,27.812,17,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 07 2014,2014-10-07,25.723,18,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 08 2014,2014-10-08,27.55,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 09 2014,2014-10-09,27.341,22,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
Oct 10 2014,2014-10-10,26.425,30,USP-S | Caiman,USP-S,Caiman,Factory New,1,1,0
