date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,36.949,,,,22.80386851004038,1.8735641796612608,25.006982235380818,5,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 13 2014,2014-06-13,31.131,4.113947252943332,4.1139472529433325,4.113947252943332,22.80386851004038,1.8735641796612608,25.006982235380818,8,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 14 2014,2014-06-14,29.862,3.7790001764135095,4.522718033665398,3.7790001764135095,22.80386851004038,1.8735641796612608,25.006982235380818,12,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 15 2014,2014-06-15,23.966,5.32559373841703,6.453538229049205,5.32559373841703,22.80386851004038,1.8735641796612608,25.006982235380818,9,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 16 2014,2014-06-16,22.044,5.957731053010032,7.604655506260805,5.957731053010032,22.80386851004038,1.8735641796612608,25.006982235380818,9,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 17 2014,2014-06-17,18.65,6.747858880168338,8.841431166646286,6.747858880168338,22.80386851004038,1.8735641796612608,25.006982235380818,13,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 18 2014,2014-06-18,14.065,7.8878983138427845,10.359496827493764,7.8878983138427845,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 19 2014,2014-06-19,17.704,7.773411954265277,10.620709881584062,7.773411954265277,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 20 2014,2014-06-20,18.223,7.547921785351105,10.670767292634524,7.547921785351105,22.80386851004038,1.8735641796612608,25.006982235380818,11,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 21 2014,2014-06-21,15.283,7.589080928837461,10.97728852070921,7.589080928837461,22.80386851004038,1.8735641796612608,25.006982235380818,8,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 22 2014,2014-06-22,12.889,7.793740729818794,11.413272087658656,7.793740729818794,22.80386851004038,1.8735641796612608,25.006982235380818,13,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 23 2014,2014-06-23,12.353,7.924419337775426,11.727345981976017,7.924419337775426,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 24 2014,2014-06-24,12.938,7.917031929765289,11.844245485128413,7.917031929765289,22.80386851004038,1.8735641796612608,25.006982235380818,10,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 25 2014,2014-06-25,16.175,7.692401902719791,11.627262331509097,7.692401902719791,22.80386851004038,1.8735641796612608,25.006982235380818,11,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 26 2014,2014-06-26,13.515,7.608523480438302,11.587056048943973,7.608523480438302,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 27 2014,2014-06-27,13.284,7.52438436878172,11.518147443894103,7.52438436878172,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 28 2014,2014-06-28,14.555,7.376335312315046,11.329197690973313,7.376335312315046,22.80386851004038,1.8735641796612608,25.006982235380818,21,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 29 2014,2014-06-29,16.999,7.172160755218251,11.005672560240729,7.172160755218251,22.80386851004038,1.8735641796612608,25.006982235380818,9,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jun 30 2014,2014-06-30,15.653,7.0103029908408265,10.7509082230185,7.0103029908408265,22.80386851004038,1.8735641796612608,25.006982235380818,14,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 01 2014,2014-07-01,13.846,6.9108577242054805,10.587639398033438,6.9108577242054805,22.80386851004038,1.8735641796612608,25.006982235380818,20,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 02 2014,2014-07-02,8.918,7.0532205491027815,10.744288396490797,7.0532205491027815,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 03 2014,2014-07-03,9.949,7.096498966855425,10.747525175184128,7.096498966855425,22.80386851004038,1.8735641796612608,25.006982235380818,22,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 04 2014,2014-07-04,9.644,7.132924772786355,10.724479104668612,7.132924772786355,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 05 2014,2014-07-05,9.458,7.158816989827342,10.672116420310012,7.158816989827342,22.80386851004038,1.8735641796612608,25.006982235380818,25,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 06 2014,2014-07-06,10.743,7.119017305078,10.512669662373874,7.119017305078,22.80386851004038,1.8735641796612608,25.006982235380818,29,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 07 2014,2014-07-07,11.261,7.057816976614273,10.312511135840968,7.057816976614273,22.80386851004038,1.8735641796612608,25.006982235380818,16,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 08 2014,2014-07-08,10.297,7.024295482106589,10.148890298532967,7.024295482106589,22.80386851004038,1.8735641796612608,25.006982235380818,28,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 09 2014,2014-07-09,11.161,6.961317337454983,9.932930758809349,6.961317337454983,22.80386851004038,1.8735641796612608,25.006982235380818,27,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 10 2014,2014-07-10,12.222,6.874202581967675,9.673383046292209,6.874202581967675,22.80386851004038,1.8735641796612608,25.006982235380818,15,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
Jul 11 2014,2014-07-11,12.326,6.787703149602703,9.412981327612611,6.787703149602703,22.80386851004038,1.8735641796612608,25.006982235380818,17,USP-S | Caiman,USP-S,Caiman,Field-Tested,1,1,0
