date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,44.562,22,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 22 2014,2014-02-22,42.061,25,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 23 2014,2014-02-23,40.191,19,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 24 2014,2014-02-24,36.977,16,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 25 2014,2014-02-25,40.096,13,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 26 2014,2014-02-26,47.435,8,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 27 2014,2014-02-27,50.427,9,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Feb 28 2014,2014-02-28,53.393,14,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 01 2014,2014-03-01,40.706,21,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 02 2014,2014-03-02,35.05,22,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 03 2014,2014-03-03,31.714,22,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 04 2014,2014-03-04,32.207,14,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 05 2014,2014-03-05,31.231,13,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 06 2014,2014-03-06,37.825,15,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 07 2014,2014-03-07,34.762,23,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 08 2014,2014-03-08,30.984,29,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 09 2014,2014-03-09,31.038,33,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 10 2014,2014-03-10,34.405,19,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 11 2014,2014-03-11,36.614,19,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 12 2014,2014-03-12,32.231,12,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 13 2014,2014-03-13,27.82,21,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 14 2014,2014-03-14,31.759,12,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 15 2014,2014-03-15,32.119,29,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 16 2014,2014-03-16,29.178,25,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 17 2014,2014-03-17,29.783,24,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 18 2014,2014-03-18,31.45,16,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 19 2014,2014-03-19,30.085,24,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 20 2014,2014-03-20,27.858,17,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 21 2014,2014-03-21,27.066,22,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 22 2014,2014-03-22,26.053,37,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
Mar 23 2014,2014-03-23,26.14,34,USP-S | Guardian,USP-S,Guardian,Factory New,1,1,0
