date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,21.96,,,,3.494316175178553,2.8674893408604754,3.5654615908462897,34,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 22 2014,2014-02-22,18.627,2.3567869016947656,2.3567869016947647,2.3567869016947656,3.494316175178553,2.8674893408604754,3.5654615908462897,33,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 23 2014,2014-02-23,19.612,1.7123189928670828,1.9960428454289305,1.7123189928670828,3.494316175178553,2.8674893408604754,3.5654615908462897,20,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 24 2014,2014-02-24,20.775,1.4423047528175192,1.6665784368730099,1.4423047528175192,3.494316175178553,2.8674893408604754,3.5654615908462897,9,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 25 2014,2014-02-25,25.067,2.492671799495475,1.9840067931600913,2.492671799495475,3.494316175178553,2.8674893408604754,3.5654615908462897,16,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 26 2014,2014-02-26,23.704,2.4513057268865257,1.898134811331283,2.4513057268865257,3.494316175178553,2.8674893408604754,3.5654615908462897,18,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 27 2014,2014-02-27,24.93,2.5629349619230744,2.0039706470682077,2.5629349619230744,3.494316175178553,2.8674893408604754,3.5654615908462897,20,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Feb 28 2014,2014-02-28,28.242,3.2173382049452024,2.7001800014407364,3.2173382049452024,3.494316175178553,2.8674893408604754,3.5654615908462897,25,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Mar 01 2014,2014-03-01,22.591,3.0109260941518405,2.512183278868514,3.0109260941518405,3.494316175178553,2.8674893408604754,3.5654615908462897,33,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Mar 02 2014,2014-03-02,17.981,3.227035049563472,2.714202376614502,3.227035049563472,3.494316175178553,2.8674893408604754,3.5654615908462897,38,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
Mar 03 2014,2014-03-03,18.547,3.2690090269348944,2.770825482239552,3.2690090269348944,3.494316175178553,2.8674893408604754,3.5654615908462897,22,USP-S | Guardian,USP-S,Guardian,Field-Tested,1,1,0
