date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,31.687,20,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 22 2014,2014-02-22,28.772,20,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 23 2014,2014-02-23,28.241,17,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 24 2014,2014-02-24,29.127,10,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 25 2014,2014-02-25,37.433,3,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 26 2014,2014-02-26,39.262,5,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 27 2014,2014-02-27,41.163,10,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Feb 28 2014,2014-02-28,40.006,7,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 01 2014,2014-03-01,31.264,26,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 02 2014,2014-03-02,24.813,17,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 03 2014,2014-03-03,24.353,18,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 04 2014,2014-03-04,25.202,18,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 05 2014,2014-03-05,24.75,17,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 06 2014,2014-03-06,30.5,8,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 07 2014,2014-03-07,28.584,16,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 08 2014,2014-03-08,24.809,25,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 09 2014,2014-03-09,22.995,26,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 10 2014,2014-03-10,23.269,27,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 11 2014,2014-03-11,25.282,16,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 12 2014,2014-03-12,24.764,15,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 13 2014,2014-03-13,23.236,12,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 14 2014,2014-03-14,24.815,19,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 15 2014,2014-03-15,25.226,17,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 16 2014,2014-03-16,23.431,26,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 17 2014,2014-03-17,22.126,22,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 18 2014,2014-03-18,22.249,18,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 19 2014,2014-03-19,20.846,20,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 20 2014,2014-03-20,22.452,26,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 21 2014,2014-03-21,21.621,23,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 22 2014,2014-03-22,20.481,18,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 23 2014,2014-03-23,20.125,27,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 24 2014,2014-03-24,20.099,27,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 25 2014,2014-03-25,20.297,20,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 26 2014,2014-03-26,20.282,22,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 27 2014,2014-03-27,19.637,21,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 28 2014,2014-03-28,19.843,28,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 29 2014,2014-03-29,19.728,39,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 30 2014,2014-03-30,18.759,37,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Mar 31 2014,2014-03-31,19.985,39,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 01 2014,2014-04-01,21.141,29,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 02 2014,2014-04-02,19.263,32,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 03 2014,2014-04-03,19.46,35,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 04 2014,2014-04-04,19.622,35,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 05 2014,2014-04-05,19.546,23,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 06 2014,2014-04-06,20.073,29,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 07 2014,2014-04-07,18.203,34,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 08 2014,2014-04-08,18.508,27,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 09 2014,2014-04-09,19.205,34,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 10 2014,2014-04-10,18.565,34,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 11 2014,2014-04-11,17.21,38,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 12 2014,2014-04-12,16.086,50,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 13 2014,2014-04-13,18.505,26,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 14 2014,2014-04-14,17.029,40,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 15 2014,2014-04-15,17.389,37,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 16 2014,2014-04-16,17.408,48,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 17 2014,2014-04-17,16.613,39,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 18 2014,2014-04-18,15.708,53,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 19 2014,2014-04-19,17.088,52,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 20 2014,2014-04-20,15.508,54,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 21 2014,2014-04-21,15.044,47,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 22 2014,2014-04-22,15.425,60,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 23 2014,2014-04-23,16.556,46,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 24 2014,2014-04-24,17.493,40,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 25 2014,2014-04-25,17.804,29,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 26 2014,2014-04-26,16.424,43,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 27 2014,2014-04-27,17.22,42,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 28 2014,2014-04-28,16.613,53,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
Apr 29 2014,2014-04-29,16.817,44,USP-S | Guardian,USP-S,Guardian,Minimal Wear,1,1,0
