date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,241.721,,,,44.0997787899966,14.83899104937843,38.36154387172667,7,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 19 2015,2015-09-19,145.833,67.80305503441566,67.80305503441568,67.80305503441566,44.0997787899966,14.83899104937843,38.36154387172667,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 20 2015,2015-09-20,142.646,56.30352436866926,67.7808737302347,56.30352436866926,44.0997787899966,14.83899104937843,38.36154387172667,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 21 2015,2015-09-21,117.363,54.72294178480661,73.71557847867385,54.72294178480661,44.0997787899966,14.83899104937843,38.36154387172667,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 22 2015,2015-09-22,123.499,50.405709615082294,74.35483018136553,50.405709615082294,44.0997787899966,14.83899104937843,38.36154387172667,12,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 23 2015,2015-09-23,128.943,46.249456344552485,73.24163713671497,46.249456344552485,44.0997787899966,14.83899104937843,38.36154387172667,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 24 2015,2015-09-24,118.608,43.855413776137034,73.4007771983582,43.855413776137034,44.0997787899966,14.83899104937843,38.36154387172667,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 25 2015,2015-09-25,129.24,41.00798289510226,71.80132156453627,41.00798289510226,44.0997787899966,14.83899104937843,38.36154387172667,17,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 26 2015,2015-09-26,113.445,39.64457269531914,71.88615667127732,39.64457269531914,44.0997787899966,14.83899104937843,38.36154387172667,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 27 2015,2015-09-27,103.945,39.090894754121166,72.53618861339513,39.090894754121166,44.0997787899966,14.83899104937843,38.36154387172667,17,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 28 2015,2015-09-28,119.366,37.44399209049066,71.2201725794807,37.44399209049066,44.0997787899966,14.83899104937843,38.36154387172667,10,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 29 2015,2015-09-29,101.146,37.012167510710704,71.38500194516533,37.012167510710704,44.0997787899966,14.83899104937843,38.36154387172667,15,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Sep 30 2015,2015-09-30,106.273,36.155724318564,70.72641302920285,36.155724318564,44.0997787899966,14.83899104937843,38.36154387172667,17,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 01 2015,2015-10-01,125.891,34.75599310270022,68.6300453995708,34.75599310270022,44.0997787899966,14.83899104937843,38.36154387172667,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 02 2015,2015-10-02,115.04,33.70934477149933,67.2299462211012,33.70934477149933,44.0997787899966,14.83899104937843,38.36154387172667,12,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 03 2015,2015-10-03,112.61,32.818853728649636,65.94063419819523,32.818853728649636,44.0997787899966,14.83899104937843,38.36154387172667,7,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 04 2015,2015-10-04,102.869,32.349080177735935,65.19713996861243,32.349080177735935,44.0997787899966,14.83899104937843,38.36154387172667,15,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 05 2015,2015-10-05,109.652,31.629888155540893,63.914132269634194,31.629888155540893,44.0997787899966,14.83899104937843,38.36154387172667,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 06 2015,2015-10-06,115.075,30.830730906958888,62.326016008536044,30.830730906958888,44.0997787899966,14.83899104937843,38.36154387172667,7,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 07 2015,2015-10-07,108.186,30.24036165453992,61.074534136758324,30.24036165453992,44.0997787899966,14.83899104937843,38.36154387172667,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 08 2015,2015-10-08,94.017,30.195317392886313,60.570525952561866,30.195317392886313,44.0997787899966,14.83899104937843,38.36154387172667,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 09 2015,2015-10-09,99.29,29.885042191936968,59.60467552609372,29.885042191936968,44.0997787899966,14.83899104937843,38.36154387172667,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 10 2015,2015-10-10,102.195,29.476260716684276,58.41658930884294,29.476260716684276,44.0997787899966,14.83899104937843,38.36154387172667,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 11 2015,2015-10-11,92.239,29.40922887979805,57.690106979483396,29.40922887979805,44.0997787899966,14.83899104937843,38.36154387172667,10,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 12 2015,2015-10-12,89.669,29.40355997307129,56.989863353291085,29.40355997307129,44.0997787899966,14.83899104937843,38.36154387172667,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 13 2015,2015-10-13,91.134,29.299767201726784,56.10027156588588,29.299767201726784,44.0997787899966,14.83899104937843,38.36154387172667,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 14 2015,2015-10-14,88.139,29.27389433814363,55.28075051734764,29.27389433814363,44.0997787899966,14.83899104937843,38.36154387172667,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
Oct 15 2015,2015-10-15,109.717,28.75297439987639,53.59284673383612,28.75297439987639,44.0997787899966,14.83899104937843,38.36154387172667,8,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,1,1,0
