date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,317.26,,,,85.09889526305093,27.589045155793645,74.78536052653578,3,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 19 2015,2015-09-19,269.194,33.98779454451255,33.98779454451258,33.98779454451255,85.09889526305093,27.589045155793645,74.78536052653578,8,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 20 2015,2015-09-20,225.095,46.09672689392741,51.8792863421304,46.09672689392741,85.09889526305093,27.589045155793645,74.78536052653578,15,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 21 2015,2015-09-21,218.342,45.794603957052956,57.65083507263014,45.794603957052956,85.09889526305093,27.589045155793645,74.78536052653578,12,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 22 2015,2015-09-22,217.816,43.4441121189051,59.71066648541773,43.4441121189051,85.09889526305093,27.589045155793645,74.78536052653578,8,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 23 2015,2015-09-23,215.228,41.30553964663817,60.77803186053889,41.30553964663817,85.09889526305093,27.589045155793645,74.78536052653578,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 24 2015,2015-09-24,202.127,40.86745547498642,62.97614857336535,40.86745547498642,85.09889526305093,27.589045155793645,74.78536052653578,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 25 2015,2015-09-25,193.683,40.933768464391676,65.15445991938712,40.933768464391676,85.09889526305093,27.589045155793645,74.78536052653578,15,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 26 2015,2015-09-26,198.111,39.95411105603247,65.67995685836077,39.95411105603247,85.09889526305093,27.589045155793645,74.78536052653578,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 27 2015,2015-09-27,197.857,38.89862210655908,65.70003253844428,38.89862210655908,85.09889526305093,27.589045155793645,74.78536052653578,10,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 28 2015,2015-09-28,181.968,39.1642866636522,66.98152897461037,39.1642866636522,85.09889526305093,27.589045155793645,74.78536052653578,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 29 2015,2015-09-29,167.224,40.49741282523956,69.1400120597776,40.49741282523956,85.09889526305093,27.589045155793645,74.78536052653578,14,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Sep 30 2015,2015-09-30,195.903,39.212012234446185,67.90784177525231,39.212012234446185,85.09889526305093,27.589045155793645,74.78536052653578,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 01 2015,2015-10-01,198.392,37.94595449372119,66.45108655896942,37.94595449372119,85.09889526305093,27.589045155793645,74.78536052653578,3,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 02 2015,2015-10-02,163.518,38.83298390764515,67.67386501348906,38.83298390764515,85.09889526305093,27.589045155793645,74.78536052653578,12,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 03 2015,2015-10-03,170.511,38.843568659807325,67.72335483493822,38.843568659807325,85.09889526305093,27.589045155793645,74.78536052653578,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 04 2015,2015-10-04,169.116,38.7901247019097,67.55487609399684,38.7901247019097,85.09889526305093,27.589045155793645,74.78536052653578,9,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 05 2015,2015-10-05,160.317,39.13960883660377,67.75880614787202,39.13960883660377,85.09889526305093,27.589045155793645,74.78536052653578,8,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 06 2015,2015-10-06,160.914,39.26730083752035,67.57774821988947,39.26730083752035,85.09889526305093,27.589045155793645,74.78536052653578,7,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 07 2015,2015-10-07,149.763,39.91233890135123,67.9278504523803,39.91233890135123,85.09889526305093,27.589045155793645,74.78536052653578,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
Oct 08 2015,2015-10-08,159.689,39.81841610474323,67.25895180962861,39.81841610474323,85.09889526305093,27.589045155793645,74.78536052653578,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,1,1,0
