date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,191.215,,,,28.84862585071178,12.179299911671734,25.688159639822008,5,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 19 2015,2015-09-19,98.421,65.6152666534245,65.6152666534245,65.6152666534245,28.84862585071178,12.179299911671734,25.688159639822008,12,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 20 2015,2015-09-20,92.412,55.390834569749295,66.67113936182456,55.390834569749295,28.84862585071178,12.179299911671734,25.688159639822008,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 21 2015,2015-09-21,92.113,48.53688802944966,66.25404967961452,48.53688802944966,28.84862585071178,12.179299911671734,25.688159639822008,10,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 22 2015,2015-09-22,103.885,42.542066183954915,63.32079664443122,42.542066183954915,28.84862585071178,12.179299911671734,25.688159639822008,6,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 23 2015,2015-09-23,94.748,38.992223930761725,62.417618058005864,38.992223930761725,28.84862585071178,12.179299911671734,25.688159639822008,9,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 24 2015,2015-09-24,95.977,36.1148110422725,61.237016900374236,36.1148110422725,28.84862585071178,12.179299911671734,25.688159639822008,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 25 2015,2015-09-25,87.513,34.35373201602079,61.01687930446589,34.35373201602079,28.84862585071178,12.179299911671734,25.688159639822008,11,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 26 2015,2015-09-26,86.973,32.82345497887144,60.54606818521296,32.82345497887144,28.84862585071178,12.179299911671734,25.688159639822008,8,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 27 2015,2015-09-27,87.344,31.43507126849812,59.8219684000229,31.43507126849812,28.84862585071178,12.179299911671734,25.688159639822008,10,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
Sep 28 2015,2015-09-28,101.353,29.826368560233902,57.89248656073424,29.826368560233902,28.84862585071178,12.179299911671734,25.688159639822008,4,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,1,1,0
