date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,12.01,18,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 14 2014,2014-02-14,8.836,31,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 15 2014,2014-02-15,7.917,34,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 16 2014,2014-02-16,6.884,29,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 17 2014,2014-02-17,7.484,22,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 18 2014,2014-02-18,6.751,25,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 19 2014,2014-02-19,6.883,15,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 20 2014,2014-02-20,6.46,25,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 21 2014,2014-02-21,5.515,27,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 22 2014,2014-02-22,5.661,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 23 2014,2014-02-23,5.906,17,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 24 2014,2014-02-24,5.971,25,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 25 2014,2014-02-25,6.009,21,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 26 2014,2014-02-26,5.729,16,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 27 2014,2014-02-27,6.619,23,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Feb 28 2014,2014-02-28,6.567,13,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 01 2014,2014-03-01,5.964,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 02 2014,2014-03-02,5.752,20,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 03 2014,2014-03-03,5.694,24,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 04 2014,2014-03-04,5.607,16,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 05 2014,2014-03-05,5.71,19,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 06 2014,2014-03-06,5.868,11,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 07 2014,2014-03-07,5.685,19,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 08 2014,2014-03-08,5.657,24,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 09 2014,2014-03-09,5.345,25,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 10 2014,2014-03-10,5.219,15,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 11 2014,2014-03-11,4.738,32,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 12 2014,2014-03-12,5.133,20,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 13 2014,2014-03-13,6.031,7,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 14 2014,2014-03-14,6.003,17,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 15 2014,2014-03-15,5.544,17,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 16 2014,2014-03-16,5.241,21,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 17 2014,2014-03-17,4.849,21,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 18 2014,2014-03-18,5.39,40,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 19 2014,2014-03-19,5.212,22,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 20 2014,2014-03-20,5.066,32,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 21 2014,2014-03-21,5.279,32,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 22 2014,2014-03-22,5.426,27,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 23 2014,2014-03-23,5.059,36,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 24 2014,2014-03-24,4.98,27,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 25 2014,2014-03-25,5.284,23,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 26 2014,2014-03-26,4.987,19,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 27 2014,2014-03-27,4.898,29,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 28 2014,2014-03-28,4.935,32,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Mar 29 2014,2014-03-29,4.811,34,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
