date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,12.488,,,,6.954586334463896,1.6222759354828695,6.19341681298022,83,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 14 2014,2014-02-14,10.09,1.6956420612853407,1.6956420612853411,1.6956420612853407,6.954586334463896,1.6222759354828695,6.19341681298022,109,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 15 2014,2014-02-15,9.186,1.706400890763949,2.018830440200937,1.706400890763949,6.954586334463896,1.6222759354828695,6.19341681298022,93,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 16 2014,2014-02-16,8.859,1.639683785571677,2.175554254637914,1.639683785571677,6.954586334463896,1.6222759354828695,6.19341681298022,77,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 17 2014,2014-02-17,8.595,1.5822800953055052,2.2803701472307645,1.5822800953055052,6.954586334463896,1.6222759354828695,6.19341681298022,77,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 18 2014,2014-02-18,7.474,1.7142701848502955,2.535480163308831,1.7142701848502955,6.954586334463896,1.6222759354828695,6.19341681298022,90,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 19 2014,2014-02-19,6.807,1.8563000578467654,2.781823451599596,1.8563000578467654,6.954586334463896,1.6222759354828695,6.19341681298022,79,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 20 2014,2014-02-20,7.014,1.8661829214813246,2.8837405093558606,1.8661829214813246,6.954586334463896,1.6222759354828695,6.19341681298022,68,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 21 2014,2014-02-21,6.2,1.9510518317051446,3.044821099288173,1.9510518317051446,6.954586334463896,1.6222759354828695,6.19341681298022,109,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 22 2014,2014-02-22,6.634,1.9340970359432446,3.0856426506768235,1.9340970359432446,6.954586334463896,1.6222759354828695,6.19341681298022,106,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 23 2014,2014-02-23,6.252,1.9393269591653324,3.138493126372508,1.9393269591653324,6.954586334463896,1.6222759354828695,6.19341681298022,93,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 24 2014,2014-02-24,6.721,1.894240904969747,3.1177465089675382,1.894240904969747,6.954586334463896,1.6222759354828695,6.19341681298022,78,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 25 2014,2014-02-25,6.491,1.8629390138248676,3.104900470751818,1.8629390138248676,6.954586334463896,1.6222759354828695,6.19341681298022,87,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 26 2014,2014-02-26,6.076,1.855653051422261,3.113667726520259,1.855653051422261,6.954586334463896,1.6222759354828695,6.19341681298022,80,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 27 2014,2014-02-27,6.563,1.8154461736784735,3.0698090739734436,1.8154461736784735,6.954586334463896,1.6222759354828695,6.19341681298022,82,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Feb 28 2014,2014-02-28,6.967,1.7633484234546504,2.9969906513389017,1.7633484234546504,6.954586334463896,1.6222759354828695,6.19341681298022,83,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 01 2014,2014-03-01,6.49,1.730421427333952,2.9514172244822765,1.730421427333952,6.954586334463896,1.6222759354828695,6.19341681298022,101,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 02 2014,2014-03-02,6.091,1.7151824423242903,2.9263332874844528,1.7151824423242903,6.954586334463896,1.6222759354828695,6.19341681298022,93,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 03 2014,2014-03-03,5.881,1.7077328717933344,2.9067671600736333,1.7077328717933344,6.954586334463896,1.6222759354828695,6.19341681298022,97,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 04 2014,2014-03-04,5.615,1.7102054077923228,2.8956701256454553,1.7102054077923228,6.954586334463896,1.6222759354828695,6.19341681298022,78,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 05 2014,2014-03-05,5.877,1.6965742219178594,2.85821683602881,1.6965742219178594,6.954586334463896,1.6222759354828695,6.19341681298022,76,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 06 2014,2014-03-06,6.118,1.673361927585494,2.802901809863359,1.673361927585494,6.954586334463896,1.6222759354828695,6.19341681298022,79,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
Mar 07 2014,2014-03-07,5.631,1.6674671758714459,2.770807953395789,1.6674671758714459,6.954586334463896,1.6222759354828695,6.19341681298022,102,USP-S | Stainless,USP-S,Stainless,Field-Tested,1,1,0
