date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,11.168,,,,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 14 2014,2014-02-14,13.757,1.8306994564919725,1.830699456491972,1.8306994564919725,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 15 2014,2014-02-15,9.456,2.165350856866696,1.6166266792065234,2.165350856866696,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 16 2014,2014-02-16,9.519,2.0169341420416615,1.509865293817884,2.0169341420416615,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 17 2014,2014-02-17,9.401,1.8832187074261981,1.4625764648750865,1.8832187074261981,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 18 2014,2014-02-18,9.942,1.7097305928127975,1.3572443777230474,1.7097305928127975,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 19 2014,2014-02-19,9.33,1.6264416023067922,1.3459968742121906,1.6264416023067922,7.918620076401707,2.4422059901594206,8.459875779770913,7,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 20 2014,2014-02-20,10.208,1.5068488347257285,1.2558560954554596,1.5068488347257285,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 21 2014,2014-02-21,9.404,1.4441972491472364,1.2434842221700864,1.4441972491472364,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 22 2014,2014-02-22,8.779,1.43813252364153,1.2982624473873186,1.43813252364153,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 23 2014,2014-02-23,9.121,1.3956697382195469,1.2940493386246306,1.3956697382195469,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 24 2014,2014-02-24,8.492,1.4008087571979355,1.348890706115263,1.4008087571979355,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 25 2014,2014-02-25,9.115,1.357912835652852,1.3266309312890356,1.357912835652852,7.918620076401707,2.4422059901594206,8.459875779770913,7,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 26 2014,2014-02-26,6.433,1.5882979088485725,1.6469146594936102,1.5882979088485725,7.918620076401707,2.4422059901594206,8.459875779770913,7,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 27 2014,2014-02-27,8.169,1.573306502999639,1.6507087826951223,1.573306502999639,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Feb 28 2014,2014-02-28,6.987,1.64337143169157,1.7623866742865866,1.64337143169157,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 01 2014,2014-03-01,7.869,1.6301682766800851,1.7581847936349577,1.6301682766800851,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 02 2014,2014-03-02,7.822,1.616627567750364,1.7502024544075876,1.616627567750364,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 03 2014,2014-03-03,7.144,1.6380736600621701,1.7888200255280755,1.6380736600621701,7.918620076401707,2.4422059901594206,8.459875779770913,1,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 04 2014,2014-03-04,7.929,1.614272294092197,1.7577887906286265,1.614272294092197,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 05 2014,2014-03-05,10.128,1.5924602125552239,1.7066391908953,1.5924602125552239,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 06 2014,2014-03-06,16.472,2.217010030204188,2.4741354953308825,2.217010030204188,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 07 2014,2014-03-07,9.985,2.1695525394292425,2.3840883297798956,2.1695525394292425,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 08 2014,2014-03-08,14.001,2.3188799547551437,2.539638813573008,2.3188799547551437,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 09 2014,2014-03-09,12.227,2.3296309028112874,2.5112388956540865,2.3296309028112874,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 10 2014,2014-03-10,10.609,2.289296740183628,2.424837507342736,2.289296740183628,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 11 2014,2014-03-11,7.255,2.2955673029047183,2.45762523324674,2.2955673029047183,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 12 2014,2014-03-12,8.047,2.2730948936422886,2.424571821452592,2.2730948936422886,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 13 2014,2014-03-13,6.604,2.300372833349802,2.4846573712125855,2.300372833349802,7.918620076401707,2.4422059901594206,8.459875779770913,2,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 14 2014,2014-03-14,6.558,2.323122054329119,2.5260327639308127,2.323122054329119,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 15 2014,2014-03-15,6.813,2.3446527385452667,2.531110043441275,2.3307735109057224,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 16 2014,2014-03-16,5.212,2.2971217845607255,2.654238947068506,2.4048224231940236,7.918620076401707,2.4422059901594206,8.459875779770913,9,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 17 2014,2014-03-17,6.084,2.3541933408721767,2.670694503443117,2.427768172076668,7.918620076401707,2.4422059901594206,8.459875779770913,7,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 18 2014,2014-03-18,6.556,2.387309836923408,2.64473980562097,2.4299432745005705,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 19 2014,2014-03-19,7.606,2.3930876628466766,2.5709311847454637,2.4058023707401293,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 20 2014,2014-03-20,7.489,2.3909771618536535,2.501546782763077,2.3841219426240743,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 21 2014,2014-03-21,8.171,2.3883868621829842,2.4200603568003345,2.3541364993682206,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 22 2014,2014-03-22,6.716,2.3912135477691008,2.3836017850037376,2.349351090456776,7.918620076401707,2.4422059901594206,8.459875779770913,3,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 23 2014,2014-03-23,6.273,2.4167775600399493,2.3663307768008606,2.354877971458148,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 24 2014,2014-03-24,6.031,2.4519943597467537,2.3562233043888616,2.3651017536520933,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 25 2014,2014-03-25,5.811,2.4863290291872713,2.3513720327569314,2.379191406247294,7.918620076401707,2.4422059901594206,8.459875779770913,7,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 26 2014,2014-03-26,4.662,2.5654261047339846,2.4210761469890376,2.4292712486775887,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 27 2014,2014-03-27,5.715,2.590632562881521,2.3969617401787358,2.4389677949415214,7.918620076401707,2.4422059901594206,8.459875779770913,8,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 28 2014,2014-03-28,6.196,2.595656599544445,2.345755158986246,2.435123411140418,7.918620076401707,2.4422059901594206,8.459875779770913,6,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 29 2014,2014-03-29,6.606,2.6058349459467407,2.280507880813128,2.422731703484872,7.918620076401707,2.4422059901594206,8.459875779770913,5,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
Mar 30 2014,2014-03-30,6.083,2.621370248860166,2.233031523261081,2.419837312873109,7.918620076401707,2.4422059901594206,8.459875779770913,4,USP-S | Stainless,USP-S,Stainless,Well-Worn,1,1,0
