date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,10.988,,,,1.3904605829874075,1.0209672139686086,1.098943581194534,687,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
May 28 2015,2015-05-28,9.535,1.0274261530640532,1.0274261530640534,1.0274261530640532,1.3904605829874075,1.0209672139686086,1.098943581194534,555,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
May 29 2015,2015-05-29,10.722,0.7736207080992594,0.7311243851337341,0.7736207080992594,1.3904605829874075,1.0209672139686086,1.098943581194534,362,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
May 30 2015,2015-05-30,11.241,0.7546930943546963,0.615865973293879,0.7546930943546963,1.3904605829874075,1.0209672139686086,1.098943581194534,293,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
May 31 2015,2015-05-31,12.119,0.9357737440214917,0.7107015447098615,0.9357737440214917,1.3904605829874075,1.0209672139686086,1.098943581194534,201,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 01 2015,2015-06-01,13.201,1.2517739412529727,1.0156979734470188,1.2517739412529727,1.3904605829874075,1.0209672139686086,1.098943581194534,163,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 02 2015,2015-06-02,12.252,1.1979072624889668,0.9980593167071553,1.1979072624889668,1.3904605829874075,1.0209672139686086,1.098943581194534,136,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 03 2015,2015-06-03,10.529,1.1545605147166855,0.9444862152598908,1.1545605147166855,1.3904605829874075,1.0209672139686086,1.098943581194534,277,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 04 2015,2015-06-04,7.342,1.711036089625231,1.4687081218414813,1.711036089625231,1.3904605829874075,1.0209672139686086,1.098943581194534,400,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 05 2015,2015-06-05,7.187,1.9917113914085716,1.7698808892092546,1.9917113914085716,1.3904605829874075,1.0209672139686086,1.098943581194534,338,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 06 2015,2015-06-06,7.367,2.1140430975223325,1.925056277551022,2.1140430975223325,1.3904605829874075,1.0209672139686086,1.098943581194534,326,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 07 2015,2015-06-07,7.575,2.156019220412443,1.9981560098151403,2.156019220412443,1.3904605829874075,1.0209672139686086,1.098943581194534,284,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 08 2015,2015-06-08,8.186,2.1249762532609813,1.9850570179850082,2.1249762532609813,1.3904605829874075,1.0209672139686086,1.098943581194534,243,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 09 2015,2015-06-09,8.429,2.0773668098430194,1.9479668327262982,2.0773668098430194,1.3904605829874075,1.0209672139686086,1.098943581194534,205,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 10 2015,2015-06-10,8.028,2.0512774579573114,1.9370490214801992,2.0512774579573114,1.3904605829874075,1.0209672139686086,1.098943581194534,242,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 11 2015,2015-06-11,6.567,2.126034007253882,2.057348075980659,2.126034007253882,1.3904605829874075,1.0209672139686086,1.098943581194534,302,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 12 2015,2015-06-12,6.174,2.2069125142579247,2.1807372141553225,2.2069125142579247,1.3904605829874075,1.0209672139686086,1.098943581194534,346,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 13 2015,2015-06-13,6.228,2.2572382801987856,2.258622852353602,2.2572382801987856,1.3904605829874075,1.0209672139686086,1.098943581194534,326,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 14 2015,2015-06-14,5.988,2.3063850312297602,2.3311173928969215,2.3063850312297602,1.3904605829874075,1.0209672139686086,1.098943581194534,295,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 15 2015,2015-06-15,5.845,2.34842698249387,2.390045533843525,2.34842698249387,1.3904605829874075,1.0209672139686086,1.098943581194534,302,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 16 2015,2015-06-16,5.693,2.385732182710173,2.4388321453165407,2.385732182710173,1.3904605829874075,1.0209672139686086,1.098943581194534,262,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 17 2015,2015-06-17,5.848,2.4025134854187704,2.455000669593172,2.4025134854187704,1.3904605829874075,1.0209672139686086,1.098943581194534,279,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 18 2015,2015-06-18,5.566,2.4257969751046518,2.4781892440300735,2.4257969751046518,1.3904605829874075,1.0209672139686086,1.098943581194534,279,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 19 2015,2015-06-19,5.052,2.467500758409939,2.526002297364001,2.467500758409939,1.3904605829874075,1.0209672139686086,1.098943581194534,360,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 20 2015,2015-06-20,5.114,2.494939786848573,2.5488118470918093,2.494939786848573,1.3904605829874075,1.0209672139686086,1.098943581194534,383,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 21 2015,2015-06-21,5.166,2.5118364804690985,2.5529407706991356,2.5118364804690985,1.3904605829874075,1.0209672139686086,1.098943581194534,363,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 22 2015,2015-06-22,5.11,2.5249784010810723,2.549279132097772,2.5249784010810723,1.3904605829874075,1.0209672139686086,1.098943581194534,352,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 23 2015,2015-06-23,5.056,2.535032930293404,2.5390492101342694,2.535032930293404,1.3904605829874075,1.0209672139686086,1.098943581194534,311,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 24 2015,2015-06-24,5.049,2.540840158168083,2.5205834318101537,2.540840158168083,1.3904605829874075,1.0209672139686086,1.098943581194534,352,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 25 2015,2015-06-25,5.094,2.5414112626151497,2.492541367913633,2.5414112626151497,1.3904605829874075,1.0209672139686086,1.098943581194534,329,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 26 2015,2015-06-26,4.986,2.502126339184611,2.4648269900015456,2.5426976450176886,1.3904605829874075,1.0209672139686086,1.098943581194534,354,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 27 2015,2015-06-27,4.826,2.5117977808641423,2.440310074054813,2.546407260136487,1.3904605829874075,1.0209672139686086,1.098943581194534,377,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 28 2015,2015-06-28,4.692,2.465327457208144,2.4172728816654194,2.551529734266973,1.3904605829874075,1.0209672139686086,1.098943581194534,374,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 29 2015,2015-06-29,4.535,2.3746037404455373,2.39690130286827,2.5587335297549725,1.3904605829874075,1.0209672139686086,1.098943581194534,429,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jun 30 2015,2015-06-30,4.768,2.1810593864281747,2.35859430991664,2.5561445800826132,1.3904605829874075,1.0209672139686086,1.098943581194534,383,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jul 01 2015,2015-07-01,5.009,1.80397993241381,2.307054225367167,2.5457300426400296,1.3904605829874075,1.0209672139686086,1.098943581194534,337,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jul 02 2015,2015-07-02,4.777,1.432826161540685,2.2638115119776776,2.540025460963403,1.3904605829874075,1.0209672139686086,1.098943581194534,340,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jul 03 2015,2015-07-03,4.915,1.1717948390514434,2.2130971775729633,2.5298911683337475,1.3904605829874075,1.0209672139686086,1.098943581194534,327,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jul 04 2015,2015-07-04,4.728,1.1558270940172586,2.1687912613707203,2.523215223098949,1.3904605829874075,1.0209672139686086,1.098943581194534,339,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
Jul 05 2015,2015-07-05,4.402,1.1511940033432013,2.1372357638650428,2.5233126627968194,1.3904605829874075,1.0209672139686086,1.098943581194534,328,USP-S | Torque,USP-S,Torque,Factory New,1,1,0
