date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,4.255,910,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
May 28 2015,2015-05-28,3.493,859,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
May 29 2015,2015-05-29,4.127,545,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
May 30 2015,2015-05-30,4.202,471,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
May 31 2015,2015-05-31,4.399,340,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 01 2015,2015-06-01,4.655,284,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 02 2015,2015-06-02,4.484,273,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 03 2015,2015-06-03,3.709,451,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 04 2015,2015-06-04,2.769,587,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 05 2015,2015-06-05,2.673,587,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 06 2015,2015-06-06,2.74,543,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 07 2015,2015-06-07,2.877,454,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 08 2015,2015-06-08,2.935,419,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 09 2015,2015-06-09,3.123,365,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 10 2015,2015-06-10,2.934,446,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 11 2015,2015-06-11,2.426,495,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 12 2015,2015-06-12,2.218,588,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 13 2015,2015-06-13,2.203,579,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 14 2015,2015-06-14,2.146,574,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 15 2015,2015-06-15,2.14,511,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 16 2015,2015-06-16,2.161,473,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 17 2015,2015-06-17,2.107,477,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 18 2015,2015-06-18,2.05,505,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 19 2015,2015-06-19,1.947,629,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 20 2015,2015-06-20,1.943,666,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 21 2015,2015-06-21,1.838,624,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 22 2015,2015-06-22,1.934,555,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 23 2015,2015-06-23,1.978,584,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 24 2015,2015-06-24,1.999,578,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 25 2015,2015-06-25,2.058,600,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 26 2015,2015-06-26,1.99,671,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 27 2015,2015-06-27,1.971,617,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 28 2015,2015-06-28,1.904,688,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 29 2015,2015-06-29,1.896,715,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jun 30 2015,2015-06-30,1.934,658,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 01 2015,2015-07-01,1.988,576,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 02 2015,2015-07-02,1.918,675,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 03 2015,2015-07-03,1.921,594,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 04 2015,2015-07-04,1.85,640,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 05 2015,2015-07-05,1.818,669,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 06 2015,2015-07-06,1.819,696,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 07 2015,2015-07-07,1.82,659,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 08 2015,2015-07-08,1.811,591,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 09 2015,2015-07-09,1.784,729,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 10 2015,2015-07-10,1.744,682,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 11 2015,2015-07-11,1.734,631,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 12 2015,2015-07-12,1.732,681,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 13 2015,2015-07-13,1.668,682,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 14 2015,2015-07-14,1.681,632,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 15 2015,2015-07-15,1.611,748,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 16 2015,2015-07-16,1.599,667,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 17 2015,2015-07-17,1.561,688,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 18 2015,2015-07-18,1.578,706,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 19 2015,2015-07-19,1.584,749,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 20 2015,2015-07-20,1.591,718,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 21 2015,2015-07-21,1.518,730,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 22 2015,2015-07-22,1.543,623,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 23 2015,2015-07-23,1.448,802,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 24 2015,2015-07-24,1.476,764,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 25 2015,2015-07-25,1.511,670,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 26 2015,2015-07-26,1.48,690,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 27 2015,2015-07-27,1.478,804,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 28 2015,2015-07-28,1.462,766,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 29 2015,2015-07-29,1.443,723,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 30 2015,2015-07-30,1.386,778,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Jul 31 2015,2015-07-31,1.332,832,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 01 2015,2015-08-01,1.327,802,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 02 2015,2015-08-02,1.328,812,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 03 2015,2015-08-03,1.274,809,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 04 2015,2015-08-04,1.31,757,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 05 2015,2015-08-05,1.298,797,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 06 2015,2015-08-06,1.26,812,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 07 2015,2015-08-07,1.279,780,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 08 2015,2015-08-08,1.251,848,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 09 2015,2015-08-09,1.227,813,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 10 2015,2015-08-10,1.24,811,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 11 2015,2015-08-11,1.284,765,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 12 2015,2015-08-12,1.257,799,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 13 2015,2015-08-13,1.216,842,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 14 2015,2015-08-14,1.231,810,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 15 2015,2015-08-15,0.951,1138,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 16 2015,2015-08-16,0.984,915,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 17 2015,2015-08-17,1.003,967,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 18 2015,2015-08-18,1.057,864,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 19 2015,2015-08-19,1.056,807,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 20 2015,2015-08-20,1.068,953,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 21 2015,2015-08-21,1.035,1051,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 22 2015,2015-08-22,1.129,1047,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 23 2015,2015-08-23,1.005,1207,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 24 2015,2015-08-24,1.073,1084,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 25 2015,2015-08-25,1.218,952,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 26 2015,2015-08-26,1.275,920,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
Aug 27 2015,2015-08-27,1.291,865,USP-S | Torque,USP-S,Torque,Field-Tested,1,1,0
