date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,7.47,580,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
May 28 2015,2015-05-28,6.705,520,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
May 29 2015,2015-05-29,7.562,286,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
May 30 2015,2015-05-30,7.846,277,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
May 31 2015,2015-05-31,8.51,216,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 01 2015,2015-06-01,8.99,156,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 02 2015,2015-06-02,8.581,146,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 03 2015,2015-06-03,7.165,268,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 04 2015,2015-06-04,5.238,382,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 05 2015,2015-06-05,5.065,347,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 06 2015,2015-06-06,5.42,303,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 07 2015,2015-06-07,5.496,262,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 08 2015,2015-06-08,5.592,260,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 09 2015,2015-06-09,6.059,183,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 10 2015,2015-06-10,5.722,229,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 11 2015,2015-06-11,4.608,286,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 12 2015,2015-06-12,4.25,357,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 13 2015,2015-06-13,4.269,363,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 14 2015,2015-06-14,4.176,335,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 15 2015,2015-06-15,4.124,306,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 16 2015,2015-06-16,4.231,275,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 17 2015,2015-06-17,4.203,265,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 18 2015,2015-06-18,3.756,351,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 19 2015,2015-06-19,3.525,400,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 20 2015,2015-06-20,3.411,365,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 21 2015,2015-06-21,3.393,374,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 22 2015,2015-06-22,3.457,391,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 23 2015,2015-06-23,3.536,300,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 24 2015,2015-06-24,3.586,345,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 25 2015,2015-06-25,3.634,363,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 26 2015,2015-06-26,3.597,334,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 27 2015,2015-06-27,3.493,372,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 28 2015,2015-06-28,3.258,389,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 29 2015,2015-06-29,3.304,422,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jun 30 2015,2015-06-30,3.377,391,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 01 2015,2015-07-01,3.608,320,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 02 2015,2015-07-02,3.417,310,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 03 2015,2015-07-03,3.359,327,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 04 2015,2015-07-04,3.281,372,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 05 2015,2015-07-05,3.068,374,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 06 2015,2015-07-06,3.093,366,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 07 2015,2015-07-07,3.065,374,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 08 2015,2015-07-08,3.064,387,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 09 2015,2015-07-09,3.079,382,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 10 2015,2015-07-10,3.084,379,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 11 2015,2015-07-11,3.024,389,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 12 2015,2015-07-12,2.874,371,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 13 2015,2015-07-13,2.864,417,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
Jul 14 2015,2015-07-14,2.825,363,USP-S | Torque,USP-S,Torque,Minimal Wear,1,1,0
