date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,3.871,97,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
May 28 2015,2015-05-28,3.337,119,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
May 29 2015,2015-05-29,3.538,83,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
May 30 2015,2015-05-30,3.95,62,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
May 31 2015,2015-05-31,4.593,32,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 01 2015,2015-06-01,4.476,41,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 02 2015,2015-06-02,4.366,28,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 03 2015,2015-06-03,3.463,44,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 04 2015,2015-06-04,2.629,97,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 05 2015,2015-06-05,2.722,68,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 06 2015,2015-06-06,2.689,78,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 07 2015,2015-06-07,2.955,51,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 08 2015,2015-06-08,2.877,47,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 09 2015,2015-06-09,2.886,57,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 10 2015,2015-06-10,3.085,49,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 11 2015,2015-06-11,2.829,51,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 12 2015,2015-06-12,2.339,63,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 13 2015,2015-06-13,2.226,81,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 14 2015,2015-06-14,2.176,73,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 15 2015,2015-06-15,2.095,65,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 16 2015,2015-06-16,2.296,54,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 17 2015,2015-06-17,2.351,52,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 18 2015,2015-06-18,2.042,70,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 19 2015,2015-06-19,2.123,70,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 20 2015,2015-06-20,2.014,71,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
Jun 21 2015,2015-06-21,1.969,75,USP-S | Torque,USP-S,Torque,Well-Worn,1,1,0
