date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jul 11 2014,2014-07-11,0.759,,,,1.3254256338235446,0.23888331353602682,1.2930885768290692,719,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 12 2014,2014-07-12,0.417,0.24183051916579926,0.24183051916579928,0.24183051916579926,1.3254256338235446,0.23888331353602682,1.2930885768290692,706,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 13 2014,2014-07-13,0.35,0.21936803170319352,0.26286575966196846,0.21936803170319352,1.3254256338235446,0.23888331353602682,1.2930885768290692,734,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 14 2014,2014-07-14,0.274,0.21412301760125335,0.28672533827471547,0.21412301760125335,1.3254256338235446,0.23888331353602682,1.2930885768290692,749,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 15 2014,2014-07-15,0.252,0.20549282225907547,0.2991391385022183,0.20549282225907547,1.3254256338235446,0.23888331353602682,1.2930885768290692,775,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 16 2014,2014-07-16,0.24,0.1965227722173692,0.30544913730001305,0.1965227722173692,1.3254256338235446,0.23888331353602682,1.2930885768290692,718,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 17 2014,2014-07-17,0.207,0.19120495112139047,0.31195021552685087,0.19120495112139047,1.3254256338235446,0.23888331353602682,1.2930885768290692,771,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 18 2014,2014-07-18,0.198,0.18573286308182355,0.31527101569679616,0.18573286308182355,1.3254256338235446,0.23888331353602682,1.2930885768290692,812,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 19 2014,2014-07-19,0.183,0.18117394956229216,0.31734357363597815,0.18117394956229216,1.3254256338235446,0.23888331353602682,1.2930885768290692,820,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 20 2014,2014-07-20,0.173,0.1770248256287487,0.3180307276069643,0.1770248256287487,1.3254256338235446,0.23888331353602682,1.2930885768290692,862,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 21 2014,2014-07-21,0.171,0.17275326598675608,0.31697892881349926,0.17275326598675608,1.3254256338235446,0.23888331353602682,1.2930885768290692,863,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 22 2014,2014-07-22,0.172,0.16838214113897423,0.3144409616061455,0.16838214113897423,1.3254256338235446,0.23888331353602682,1.2930885768290692,860,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 23 2014,2014-07-23,0.171,0.16417903767002778,0.31098750686966914,0.16417903767002778,1.3254256338235446,0.23888331353602682,1.2930885768290692,927,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 24 2014,2014-07-24,0.165,0.16042430004197006,0.30721650385334554,0.16042430004197006,1.3254256338235446,0.23888331353602682,1.2930885768290692,792,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 25 2014,2014-07-25,0.158,0.15710990996599739,0.30326785457161826,0.15710990996599739,1.3254256338235446,0.23888331353602682,1.2930885768290692,986,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 26 2014,2014-07-26,0.167,0.15352783406709458,0.29815318491058196,0.15352783406709458,1.3254256338235446,0.23888331353602682,1.2930885768290692,1019,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 27 2014,2014-07-27,0.174,0.14989991759209756,0.29228923356785413,0.14989991759209756,1.3254256338235446,0.23888331353602682,1.2930885768290692,946,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 28 2014,2014-07-28,0.175,0.14646322789076785,0.286182571552461,0.14646322789076785,1.3254256338235446,0.23888331353602682,1.2930885768290692,966,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 29 2014,2014-07-29,0.169,0.1433943974371881,0.2802520449256185,0.1433943974371881,1.3254256338235446,0.23888331353602682,1.2930885768290692,1075,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 30 2014,2014-07-30,0.162,0.140677411870301,0.27452812272831345,0.140677411870301,1.3254256338235446,0.23888331353602682,1.2930885768290692,1043,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Jul 31 2014,2014-07-31,0.16,0.13813711269880335,0.2687453561799293,0.13813711269880335,1.3254256338235446,0.23888331353602682,1.2930885768290692,1198,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 01 2014,2014-08-01,0.157,0.13578315409160638,0.262974704618039,0.13578315409160638,1.3254256338235446,0.23888331353602682,1.2930885768290692,1150,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 02 2014,2014-08-02,0.153,0.1336225141380934,0.257273312890751,0.1336225141380934,1.3254256338235446,0.23888331353602682,1.2930885768290692,1171,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 03 2014,2014-08-03,0.158,0.1314289291054184,0.2512624753400111,0.1314289291054184,1.3254256338235446,0.23888331353602682,1.2930885768290692,1201,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 04 2014,2014-08-04,0.153,0.12943290411122924,0.24541960175835384,0.12943290411122924,1.3254256338235446,0.23888331353602682,1.2930885768290692,1313,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 05 2014,2014-08-05,0.123,0.12825770332240655,0.2408190788019593,0.12825770332240655,1.3254256338235446,0.23888331353602682,1.2930885768290692,1283,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 06 2014,2014-08-06,0.123,0.12706036432474202,0.23600483190318594,0.12706036432474202,1.3254256338235446,0.23888331353602682,1.2930885768290692,1230,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 07 2014,2014-08-07,0.138,0.12549851914217275,0.23042589182645704,0.12549851914217275,1.3254256338235446,0.23888331353602682,1.2930885768290692,1293,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 08 2014,2014-08-08,0.138,0.12397606236450995,0.22481876700205297,0.12397606236450995,1.3254256338235446,0.23888331353602682,1.2930885768290692,1246,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 09 2014,2014-08-09,0.127,0.12272022662539578,0.21960660354393327,0.12272022662539578,1.3254256338235446,0.23888331353602682,1.2930885768290692,1185,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 10 2014,2014-08-10,0.134,0.06500924779483735,0.2141028109237674,0.12134028397910163,1.3254256338235446,0.23888331353602682,1.2930885768290692,1253,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 11 2014,2014-08-11,0.132,0.04866683593105492,0.20868118876560313,0.1200299651767115,1.3254256338235446,0.23888331353602682,1.2930885768290692,1253,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 12 2014,2014-08-12,0.129,0.03650765940733925,0.20337952920555147,0.11880317788576857,1.3254256338235446,0.23888331353602682,1.2930885768290692,1182,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 13 2014,2014-08-13,0.127,0.03125918715528576,0.19816518121787957,0.1176363963528319,1.3254256338235446,0.23888331353602682,1.2930885768290692,1340,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 14 2014,2014-08-14,0.127,0.027026679028514224,0.1929798056696388,0.11649143943734606,1.3254256338235446,0.23888331353602682,1.2930885768290692,1342,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 15 2014,2014-08-15,0.126,0.022918145197862984,0.18786668374868423,0.11538544102268707,1.3254256338235446,0.23888331353602682,1.2930885768290692,1375,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
Aug 16 2014,2014-08-16,0.123,0.021428952377565848,0.18289108288789818,0.1143493540636534,1.3254256338235446,0.23888331353602682,1.2930885768290692,1400,USP-S | Blood Tiger,USP-S,Blood Tiger,Minimal Wear,0,1,0
