date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,18.225,,,,26.53868230350477,0.9129146291200324,27.00034690773778,155,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 13 2014,2014-06-13,12.934,3.741301979258024,3.7413019792580253,3.741301979258024,26.53868230350477,0.9129146291200324,27.00034690773778,138,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 14 2014,2014-06-14,11.496,3.5435849550043717,4.226454346751192,3.5435849550043717,26.53868230350477,0.9129146291200324,27.00034690773778,144,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 15 2014,2014-06-15,8.466,4.07966472274377,5.217156404370301,4.07966472274377,26.53868230350477,0.9129146291200324,27.00034690773778,149,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 16 2014,2014-06-16,8.88,3.9401951982103633,5.477080248629086,3.9401951982103633,26.53868230350477,0.9129146291200324,27.00034690773778,118,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 17 2014,2014-06-17,7.656,3.9453081206246328,5.795619527979714,3.9453081206246328,26.53868230350477,0.9129146291200324,27.00034690773778,130,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 18 2014,2014-06-18,6.8,3.9791341903436623,6.080321453794732,3.9791341903436623,26.53868230350477,0.9129146291200324,27.00034690773778,124,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 19 2014,2014-06-19,6.172,4.00790322585977,6.3110399075928205,4.00790322585977,26.53868230350477,0.9129146291200324,27.00034690773778,137,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 20 2014,2014-06-20,5.808,4.0102179630427965,6.473411661094547,4.0102179630427965,26.53868230350477,0.9129146291200324,27.00034690773778,152,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 21 2014,2014-06-21,5.644,3.9828663171138454,6.568280523548122,3.9828663171138454,26.53868230350477,0.9129146291200324,27.00034690773778,154,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 22 2014,2014-06-22,5.392,3.949781786837897,6.626832401773638,3.949781786837897,26.53868230350477,0.9129146291200324,27.00034690773778,133,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 23 2014,2014-06-23,4.982,3.9289347262754744,6.674574644115633,3.9289347262754744,26.53868230350477,0.9129146291200324,27.00034690773778,149,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 24 2014,2014-06-24,5.353,3.86399209500439,6.644933006370789,3.86399209500439,26.53868230350477,0.9129146291200324,27.00034690773778,123,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 25 2014,2014-06-25,5.568,3.78316160879254,6.573200609614521,3.78316160879254,26.53868230350477,0.9129146291200324,27.00034690773778,174,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 26 2014,2014-06-26,5.271,3.717916989774939,6.5064593517922,3.717916989774939,26.53868230350477,0.9129146291200324,27.00034690773778,135,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 27 2014,2014-06-27,5.246,3.65306296539858,6.424997798803843,3.65306296539858,26.53868230350477,0.9129146291200324,27.00034690773778,163,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 28 2014,2014-06-28,5.36,3.583984215966097,6.3235543209869975,3.583984215966097,26.53868230350477,0.9129146291200324,27.00034690773778,172,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
Jun 29 2014,2014-06-29,5.368,3.5166603052632737,6.21296540117485,3.5166603052632737,26.53868230350477,0.9129146291200324,27.00034690773778,195,USP-S | Caiman,USP-S,Caiman,Factory New,0,1,0
