date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,9.119,,,,18.691428623248196,0.486175138110034,19.469171039663543,114,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 13 2014,2014-06-13,6.363,1.948786288950125,1.9487862889501255,1.948786288950125,18.691428623248196,0.486175138110034,19.469171039663543,94,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 14 2014,2014-06-14,5.253,1.9905439792512327,2.3498559723970303,1.9905439792512327,18.691428623248196,0.486175138110034,19.469171039663543,120,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 15 2014,2014-06-15,4.866,1.920338056176568,2.540729643152807,1.920338056176568,18.691428623248196,0.486175138110034,19.469171039663543,116,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 16 2014,2014-06-16,4.652,1.8376749712612401,2.6459814677305493,1.8376749712612401,18.691428623248196,0.486175138110034,19.469171039663543,92,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 17 2014,2014-06-17,4.16,1.8158654961202383,2.769179625683325,1.8158654961202383,18.691428623248196,0.486175138110034,19.469171039663543,103,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 18 2014,2014-06-18,4.136,1.7644523229603002,2.8261044137885563,1.7644523229603002,18.691428623248196,0.486175138110034,19.469171039663543,103,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 19 2014,2014-06-19,3.826,1.7383199144576351,2.885716870664552,1.7383199144576351,18.691428623248196,0.486175138110034,19.469171039663543,135,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 20 2014,2014-06-20,3.903,1.6911277302439338,2.8994062933536098,1.6911277302439338,18.691428623248196,0.486175138110034,19.469171039663543,121,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 21 2014,2014-06-21,3.837,1.6469509370011266,2.899224645270863,1.6469509370011266,18.691428623248196,0.486175138110034,19.469171039663543,125,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 22 2014,2014-06-22,3.674,1.6136388973091502,2.898724632275444,1.6136388973091502,18.691428623248196,0.486175138110034,19.469171039663543,122,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 23 2014,2014-06-23,3.584,1.584056556516346,2.891132421086107,1.584056556516346,18.691428623248196,0.486175138110034,19.469171039663543,138,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 24 2014,2014-06-24,3.68,1.5470593362064655,2.8629976152436374,1.5470593362064655,18.691428623248196,0.486175138110034,19.469171039663543,121,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 25 2014,2014-06-25,3.642,1.5128431951022001,2.829925148893144,1.5128431951022001,18.691428623248196,0.486175138110034,19.469171039663543,135,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 26 2014,2014-06-26,3.651,1.479172828692732,2.7898428348308872,1.479172828692732,18.691428623248196,0.486175138110034,19.469171039663543,103,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 27 2014,2014-06-27,4.016,1.4353887220308421,2.7236283453891947,1.4353887220308421,18.691428623248196,0.486175138110034,19.469171039663543,113,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 28 2014,2014-06-28,3.763,1.4019673440645934,2.6714361650054013,1.4019673440645934,18.691428623248196,0.486175138110034,19.469171039663543,155,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 29 2014,2014-06-29,3.979,1.3651828386727312,2.6062525764277096,1.3651828386727312,18.691428623248196,0.486175138110034,19.469171039663543,108,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jun 30 2014,2014-06-30,3.734,1.3368554882601293,2.5534667934810575,1.3368554882601293,18.691428623248196,0.486175138110034,19.469171039663543,128,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 01 2014,2014-07-01,4.023,1.3041115336140785,2.4861349211777313,1.3041115336140785,18.691428623248196,0.486175138110034,19.469171039663543,148,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 02 2014,2014-07-02,3.123,1.3009544024072701,2.4661233396294424,1.3009544024072701,18.691428623248196,0.486175138110034,19.469171039663543,177,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 03 2014,2014-07-03,3.162,1.2938977859628173,2.4369897238396616,1.2938977859628173,18.691428623248196,0.486175138110034,19.469171039663543,164,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 04 2014,2014-07-04,3.596,1.272154279119252,2.3815414122216327,1.272154279119252,18.691428623248196,0.486175138110034,19.469171039663543,118,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 05 2014,2014-07-05,3.582,1.251633182361512,2.3261637143494744,1.251633182361512,18.691428623248196,0.486175138110034,19.469171039663543,122,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 06 2014,2014-07-06,3.599,1.2315957440112673,2.2697807811845965,1.2315957440112673,18.691428623248196,0.486175138110034,19.469171039663543,111,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 07 2014,2014-07-07,3.753,1.2098489060145552,2.2079990356207335,1.2098489060145552,18.691428623248196,0.486175138110034,19.469171039663543,147,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 08 2014,2014-07-08,3.595,1.1916816830086103,2.1525343043043055,1.1916816830086103,18.691428623248196,0.486175138110034,19.469171039663543,156,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 09 2014,2014-07-09,3.596,1.1742215810606498,2.0972798840191236,1.1742215810606498,18.691428623248196,0.486175138110034,19.469171039663543,130,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 10 2014,2014-07-10,3.43,1.1605359938853466,2.0483210610646307,1.1605359938853466,18.691428623248196,0.486175138110034,19.469171039663543,141,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 11 2014,2014-07-11,3.444,1.1468872560809629,1.9984984935911236,1.1468872560809629,18.691428623248196,0.486175138110034,19.469171039663543,152,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 12 2014,2014-07-12,3.504,0.6475982897040315,1.946607272740918,1.1325344961396262,18.691428623248196,0.486175138110034,19.469171039663543,164,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 13 2014,2014-07-13,3.535,0.4543334589858244,1.894174233206451,1.1181613003267408,18.691428623248196,0.486175138110034,19.469171039663543,145,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 14 2014,2014-07-14,3.415,0.3689253109471782,1.8461112350194535,1.1061869970075064,18.691428623248196,0.486175138110034,19.469171039663543,142,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 15 2014,2014-07-15,3.532,0.3043513622840201,1.794792675187751,1.0927244520756334,18.691428623248196,0.486175138110034,19.469171039663543,175,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 16 2014,2014-07-16,3.739,0.24644810369749834,1.7395902879637086,1.0775926811901713,18.691428623248196,0.486175138110034,19.469171039663543,165,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 17 2014,2014-07-17,3.662,0.2287003887536987,1.687435254663594,1.0636997010285631,18.691428623248196,0.486175138110034,19.469171039663543,122,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 18 2014,2014-07-18,3.793,0.2118929354460761,1.6342185622192456,1.0493931093245745,18.691428623248196,0.486175138110034,19.469171039663543,122,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 19 2014,2014-07-19,3.291,0.21860519443618834,1.5950222278598207,1.041447036039877,18.691428623248196,0.486175138110034,19.469171039663543,105,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
Jul 20 2014,2014-07-20,3.247,0.222905497732876,1.5571459401302208,1.0343202922386143,18.691428623248196,0.486175138110034,19.469171039663543,134,USP-S | Caiman,USP-S,Caiman,Field-Tested,0,1,0
