date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,12.357,,,,22.27623784891235,0.6076841788022715,22.815985708737337,126,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 13 2014,2014-06-13,9.728,1.8589837277394337,1.8589837277394334,1.8589837277394337,22.27623784891235,0.6076841788022715,22.815985708737337,110,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 14 2014,2014-06-14,8.165,2.1184693373597216,2.4573023575714252,2.1184693373597216,22.27623784891235,0.6076841788022715,22.815985708737337,132,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 15 2014,2014-06-15,7.146,2.2691239131729533,2.8878765018617583,2.2691239131729533,22.27623784891235,0.6076841788022715,22.815985708737337,106,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 16 2014,2014-06-16,6.284,2.395941881598968,3.243621853382371,2.395941881598968,22.27623784891235,0.6076841788022715,22.815985708737337,111,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 17 2014,2014-06-17,5.064,2.6152808644579655,3.6482957324381733,2.6152808644579655,22.27623784891235,0.6076841788022715,22.815985708737337,137,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 18 2014,2014-06-18,5.181,2.633831104249908,3.8310285966640096,2.633831104249908,22.27623784891235,0.6076841788022715,22.815985708737337,120,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 19 2014,2014-06-19,4.708,2.6585217394796152,3.990066021387719,2.6585217394796152,22.27623784891235,0.6076841788022715,22.815985708737337,143,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 20 2014,2014-06-20,4.398,2.6718684525585803,4.1121053824150176,2.6718684525585803,22.27623784891235,0.6076841788022715,22.815985708737337,147,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 21 2014,2014-06-21,4.304,2.659769173359891,4.184289835813541,2.659769173359891,22.27623784891235,0.6076841788022715,22.815985708737337,149,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
Jun 22 2014,2014-06-22,4.103,2.644992070790659,4.234487560038845,2.644992070790659,22.27623784891235,0.6076841788022715,22.815985708737337,147,USP-S | Caiman,USP-S,Caiman,Minimal Wear,0,1,0
