date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 12 2014,2014-06-12,17.061,,,,14.293090148903556,4.620120418435487,15.295452277292858,3,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 13 2014,2014-06-13,6.769,7.277542991971947,7.277542991971948,7.277542991971947,14.293090148903556,4.620120418435487,15.295452277292858,1,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 14 2014,2014-06-14,7.38,5.773796353642318,6.9356115094680995,5.773796353642318,14.293090148903556,4.620120418435487,15.295452277292858,7,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 15 2014,2014-06-15,6.044,5.193787603153085,7.072919264372165,5.193787603153085,14.293090148903556,4.620120418435487,15.295452277292858,2,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 16 2014,2014-06-16,6.017,4.733387233261188,7.072330645576026,4.733387233261188,14.293090148903556,4.620120418435487,15.295452277292858,6,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 17 2014,2014-06-17,5.0,4.4888187050343955,7.180234702322172,4.4888187050343955,14.293090148903556,4.620120418435487,15.295452277292858,3,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 18 2014,2014-06-18,5.208,4.235702437950185,7.164394303491724,4.235702437950185,14.293090148903556,4.620120418435487,15.295452277292858,10,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 19 2014,2014-06-19,4.164,4.109543524789931,7.2368313889653555,4.109543524789931,14.293090148903556,4.620120418435487,15.295452277292858,6,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 20 2014,2014-06-20,4.058,3.984716771616271,7.254048326499991,3.984716771616271,14.293090148903556,4.620120418435487,15.295452277292858,4,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 21 2014,2014-06-21,4.226,3.8477608799000085,7.207548868627471,3.8477608799000085,14.293090148903556,4.620120418435487,15.295452277292858,16,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 22 2014,2014-06-22,4.611,3.698884922882472,7.1002109548089125,3.698884922882472,14.293090148903556,4.620120418435487,15.295452277292858,6,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 23 2014,2014-06-23,5.0,3.5502433676717104,6.95233105634366,3.5502433676717104,14.293090148903556,4.620120418435487,15.295452277292858,1,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 24 2014,2014-06-24,5.65,3.403800967395277,6.761201677946208,3.403800967395277,14.293090148903556,4.620120418435487,15.295452277292858,1,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 25 2014,2014-06-25,4.286,3.3119217388693842,6.6642274535787065,3.3119217388693842,14.293090148903556,4.620120418435487,15.295452277292858,9,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 26 2014,2014-06-26,4.42,3.220975616767306,6.547380469418614,3.220975616767306,14.293090148903556,4.620120418435487,15.295452277292858,9,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 27 2014,2014-06-27,4.717,3.128064688562776,6.406470096359713,3.128064688562776,14.293090148903556,4.620120418435487,15.295452277292858,6,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 28 2014,2014-06-28,4.565,3.0463351112926036,6.271999968777372,3.0463351112926036,14.293090148903556,4.620120418435487,15.295452277292858,5,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 29 2014,2014-06-29,4.023,2.9860423700858156,6.164603506932769,2.9860423700858156,14.293090148903556,4.620120418435487,15.295452277292858,5,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jun 30 2014,2014-06-30,4.2,2.923153174148109,6.040845387624608,2.923153174148109,14.293090148903556,4.620120418435487,15.295452277292858,11,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jul 01 2014,2014-07-01,4.805,2.8514937101363858,5.885652228767095,2.8514937101363858,14.293090148903556,4.620120418435487,15.295452277292858,4,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jul 02 2014,2014-07-02,5.772,2.7795165389823087,5.698700566174435,2.7795165389823087,14.293090148903556,4.620120418435487,15.295452277292858,1,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
Jul 03 2014,2014-07-03,3.595,2.7466029317144054,5.60770677563489,2.7466029317144054,14.293090148903556,4.620120418435487,15.295452277292858,2,USP-S | Caiman,USP-S,Caiman,Well-Worn,0,1,0
