date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 21 2014,2014-02-21,5.108,,,,6.059220509224254,0.4581528503748293,7.053814506106939,257,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 22 2014,2014-02-22,4.599,0.3599173516239526,0.35991735162395233,0.3599173516239526,6.059220509224254,0.4581528503748293,7.053814506106939,238,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 23 2014,2014-02-23,4.128,0.49012277373463636,0.5512172140242227,0.49012277373463636,6.059220509224254,0.4581528503748293,7.053814506106939,235,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 24 2014,2014-02-24,5.157,0.4842458053509602,0.45352053090707695,0.4842458053509602,6.059220509224254,0.4581528503748293,7.053814506106939,151,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 25 2014,2014-02-25,5.648,0.5812662900943076,0.46086699563387795,0.5812662900943076,6.059220509224254,0.4581528503748293,7.053814506106939,124,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 26 2014,2014-02-26,5.28,0.539395093291241,0.4180955470242656,0.539395093291241,6.059220509224254,0.4581528503748293,7.053814506106939,118,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 27 2014,2014-02-27,5.39,0.5154566629975516,0.3944159051214026,0.5154566629975516,6.059220509224254,0.4581528503748293,7.053814506106939,142,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Feb 28 2014,2014-02-28,5.195,0.4801858085307038,0.3647620572699488,0.4801858085307038,6.059220509224254,0.4581528503748293,7.053814506106939,172,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 01 2014,2014-03-01,3.484,0.6919730847366824,0.6040959238183492,0.6919730847366824,6.059220509224254,0.4581528503748293,7.053814506106939,323,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 02 2014,2014-03-02,3.19,0.8448851927267329,0.7828669149762785,0.8448851927267329,6.059220509224254,0.4581528503748293,7.053814506106939,315,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 03 2014,2014-03-03,3.068,0.9433545944707591,0.9073250165304184,0.9433545944707591,6.059220509224254,0.4581528503748293,7.053814506106939,261,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 04 2014,2014-03-04,3.019,1.0044614869609876,0.9923458100966966,1.0044614869609876,6.059220509224254,0.4581528503748293,7.053814506106939,243,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 05 2014,2014-03-05,3.111,1.0298012255297442,1.0363220501772343,1.0298012255297442,6.059220509224254,0.4581528503748293,7.053814506106939,215,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 06 2014,2014-03-06,3.467,1.0163367638644274,1.0312315899936588,1.0163367638644274,6.059220509224254,0.4581528503748293,7.053814506106939,192,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 07 2014,2014-03-07,3.13,1.0229834844824273,1.0507832048542811,1.0229834844824273,6.059220509224254,0.4581528503748293,7.053814506106939,289,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 08 2014,2014-03-08,2.878,1.0419562690759463,1.0845487589336673,1.0419562690759463,6.059220509224254,0.4581528503748293,7.053814506106939,307,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 09 2014,2014-03-09,2.735,1.0629974786921563,1.1190677686308408,1.0629974786921563,6.059220509224254,0.4581528503748293,7.053814506106939,367,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 10 2014,2014-03-10,2.69,1.0788541443151067,1.1447441615227962,1.0788541443151067,6.059220509224254,0.4581528503748293,7.053814506106939,320,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 11 2014,2014-03-11,2.859,1.0784453777306187,1.146387951182759,1.0784453777306187,6.059220509224254,0.4581528503748293,7.053814506106939,302,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 12 2014,2014-03-12,2.961,1.070558598656745,1.1359368119029916,1.070558598656745,6.059220509224254,0.4581528503748293,7.053814506106939,232,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 13 2014,2014-03-13,3.041,1.0584571273680334,1.117986808181177,1.0584571273680334,6.059220509224254,0.4581528503748293,7.053814506106939,169,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 14 2014,2014-03-14,3.294,1.0389285481391524,1.087339962282203,1.0389285481391524,6.059220509224254,0.4581528503748293,7.053814506106939,218,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 15 2014,2014-03-15,2.667,1.0418123119260165,1.090925325145456,1.0418123119260165,6.059220509224254,0.4581528503748293,7.053814506106939,452,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 16 2014,2014-03-16,2.429,1.0536469446916126,1.1066563728112795,1.0536469446916126,6.059220509224254,0.4581528503748293,7.053814506106939,405,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
Mar 17 2014,2014-03-17,2.314,1.0674750863603324,1.1234254718933137,1.0674750863603324,6.059220509224254,0.4581528503748293,7.053814506106939,356,USP-S | Guardian,USP-S,Guardian,Minimal Wear,0,1,0
