date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,66.726,,,,20.11426044144365,4.881513380106211,18.013212661148582,107,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 19 2015,2015-09-19,50.205,11.682111131982952,11.682111131982953,11.682111131982952,20.11426044144365,4.881513380106211,18.013212661148582,137,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 20 2015,2015-09-20,42.959,12.181394597226268,14.335243156664989,12.181394597226268,20.11426044144365,4.881513380106211,18.013212661148582,168,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 21 2015,2015-09-21,41.829,11.480465767990426,15.205425079407538,11.480465767990426,20.11426044144365,4.881513380106211,18.013212661148582,142,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 22 2015,2015-09-22,42.912,10.49543394529259,15.229944797939648,10.49543394529259,20.11426044144365,4.881513380106211,18.013212661148582,118,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 23 2015,2015-09-23,42.254,9.77461077315443,15.222178597103692,9.77461077315443,20.11426044144365,4.881513380106211,18.013212661148582,102,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 24 2015,2015-09-24,39.967,9.402980403903353,15.430314419108559,9.402980403903353,20.11426044144365,4.881513380106211,18.013212661148582,126,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 25 2015,2015-09-25,40.034,9.018214928687383,15.455156447132675,9.018214928687383,20.11426044144365,4.881513380106211,18.013212661148582,145,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 26 2015,2015-09-26,41.227,8.576007993881017,15.250507681579187,8.576007993881017,20.11426044144365,4.881513380106211,18.013212661148582,153,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 27 2015,2015-09-27,37.052,8.500281292731174,15.44299543071056,8.500281292731174,20.11426044144365,4.881513380106211,18.013212661148582,169,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 28 2015,2015-09-28,37.326,8.35042531633188,15.47063033614807,8.35042531633188,20.11426044144365,4.881513380106211,18.013212661148582,133,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 29 2015,2015-09-29,35.025,8.36059013068655,15.627091639099545,8.36059013068655,20.11426044144365,4.881513380106211,18.013212661148582,129,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Sep 30 2015,2015-09-30,36.665,8.20280196421336,15.52487228200635,8.20280196421336,20.11426044144365,4.881513380106211,18.013212661148582,150,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 01 2015,2015-10-01,36.373,8.056421678619875,15.391872006766098,8.056421678619875,20.11426044144365,4.881513380106211,18.013212661148582,136,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 02 2015,2015-10-02,39.684,7.790117804598582,15.00565238912641,7.790117804598582,20.11426044144365,4.881513380106211,18.013212661148582,141,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 03 2015,2015-10-03,38.743,7.5703160367208815,14.676935667540398,7.5703160367208815,20.11426044144365,4.881513380106211,18.013212661148582,144,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 04 2015,2015-10-04,36.143,7.457735303716144,14.498554577534026,7.457735303716144,20.11426044144365,4.881513380106211,18.013212661148582,153,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 05 2015,2015-10-05,34.228,7.434125621190026,14.414806622797736,7.434125621190026,20.11426044144365,4.881513380106211,18.013212661148582,139,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
Oct 06 2015,2015-10-06,34.851,7.364428161917719,14.244316021629848,7.364428161917719,20.11426044144365,4.881513380106211,18.013212661148582,142,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Field-Tested,0,1,0
