date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,95.075,76,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 19 2015,2015-09-19,76.003,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 20 2015,2015-09-20,65.226,97,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 21 2015,2015-09-21,63.853,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 22 2015,2015-09-22,58.739,60,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 23 2015,2015-09-23,54.806,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 24 2015,2015-09-24,52.895,75,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 25 2015,2015-09-25,58.161,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 26 2015,2015-09-26,59.268,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 27 2015,2015-09-27,50.721,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 28 2015,2015-09-28,49.048,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 29 2015,2015-09-29,48.895,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 30 2015,2015-09-30,51.403,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 01 2015,2015-10-01,55.579,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 02 2015,2015-10-02,52.981,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 03 2015,2015-10-03,50.253,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 04 2015,2015-10-04,49.195,83,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 05 2015,2015-10-05,46.936,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 06 2015,2015-10-06,48.893,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 07 2015,2015-10-07,47.86,64,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 08 2015,2015-10-08,46.651,61,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 09 2015,2015-10-09,47.509,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 10 2015,2015-10-10,47.906,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 11 2015,2015-10-11,47.554,69,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
