date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Sep 18 2015,2015-09-18,47.893,,,,14.670470210061158,4.405947493543679,13.093617374739164,71,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 19 2015,2015-09-19,41.363,4.617407281148156,4.617407281148157,4.617407281148156,14.670470210061158,4.405947493543679,13.093617374739164,108,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 20 2015,2015-09-20,35.94,5.985037426783563,6.789368369769969,5.985037426783563,14.670470210061158,4.405947493543679,13.093617374739164,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 21 2015,2015-09-21,34.348,6.124647962672358,7.722185649575639,6.124647962672358,14.670470210061158,4.405947493543679,13.093617374739164,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 22 2015,2015-09-22,34.393,5.845348090575958,8.036723456216095,5.845348090575958,14.670470210061158,4.405947493543679,13.093617374739164,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 23 2015,2015-09-23,34.677,5.490935572984504,8.092799830536821,5.490935572984504,14.670470210061158,4.405947493543679,13.093617374739164,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 24 2015,2015-09-24,33.28,5.333614123560835,8.271985412871233,5.333614123560835,14.670470210061158,4.405947493543679,13.093617374739164,60,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 25 2015,2015-09-25,31.403,5.375795394636966,8.594250388942813,5.375795394636966,14.670470210061158,4.405947493543679,13.093617374739164,102,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 26 2015,2015-09-26,33.015,5.173463623251943,8.566450826321585,5.173463623251943,14.670470210061158,4.405947493543679,13.093617374739164,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 27 2015,2015-09-27,30.582,5.1972400196856645,8.762505682305594,5.1972400196856645,14.670470210061158,4.405947493543679,13.093617374739164,103,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 28 2015,2015-09-28,29.826,5.237898324189338,8.937404348387123,5.237898324189338,14.670470210061158,4.405947493543679,13.093617374739164,98,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 29 2015,2015-09-29,30.211,5.194178194251367,8.981531658979502,5.194178194251367,14.670470210061158,4.405947493543679,13.093617374739164,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Sep 30 2015,2015-09-30,30.501,5.110402101696663,8.944677516397277,5.110402101696663,14.670470210061158,4.405947493543679,13.093617374739164,105,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 01 2015,2015-10-01,30.6,5.014819006736904,8.864788204243768,5.014819006736904,14.670470210061158,4.405947493543679,13.093617374739164,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 02 2015,2015-10-02,32.7,4.846784901944207,8.629853039142043,4.846784901944207,14.670470210061158,4.405947493543679,13.093617374739164,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 03 2015,2015-10-03,32.86,4.691861407444459,8.393066348766318,4.691861407444459,14.670470210061158,4.405947493543679,13.093617374739164,82,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 04 2015,2015-10-04,30.819,4.606889648699451,8.274428570891786,4.606889648699451,14.670470210061158,4.405947493543679,13.093617374739164,58,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 05 2015,2015-10-05,29.819,4.566240106026225,8.204701914460808,4.566240106026225,14.670470210061158,4.405947493543679,13.093617374739164,76,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 06 2015,2015-10-06,28.451,4.590256347235235,8.204989950303062,4.590256347235235,14.670470210061158,4.405947493543679,13.093617374739164,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 07 2015,2015-10-07,27.89,4.628644094685093,8.208527079722218,4.628644094685093,14.670470210061158,4.405947493543679,13.093617374739164,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 08 2015,2015-10-08,28.266,4.629602411706239,8.151086091343464,4.629602411706239,14.670470210061158,4.405947493543679,13.093617374739164,76,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 09 2015,2015-10-09,28.851,4.595875020435525,8.035654266589999,4.595875020435525,14.670470210061158,4.405947493543679,13.093617374739164,89,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 10 2015,2015-10-10,29.71,4.531081968180621,7.8648993561541305,4.531081968180621,14.670470210061158,4.405947493543679,13.093617374739164,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 11 2015,2015-10-11,27.2,4.5614168080873165,7.824488674967055,4.5614168080873165,14.670470210061158,4.405947493543679,13.093617374739164,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 12 2015,2015-10-12,28.659,4.52355821892457,7.680396373202474,4.52355821892457,14.670470210061158,4.405947493543679,13.093617374739164,79,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 13 2015,2015-10-13,25.573,4.614958504022131,7.707672809180962,4.614958504022131,14.670470210061158,4.405947493543679,13.093617374739164,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 14 2015,2015-10-14,25.827,4.672774875492834,7.681329503938804,4.672774875492834,14.670470210061158,4.405947493543679,13.093617374739164,75,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 15 2015,2015-10-15,25.881,4.713425658039221,7.62471506449569,4.713425658039221,14.670470210061158,4.405947493543679,13.093617374739164,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 16 2015,2015-10-16,24.612,4.799400840067992,7.623718871002919,4.799400840067992,14.670470210061158,4.405947493543679,13.093617374739164,85,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 17 2015,2015-10-17,24.659,4.865325041296963,7.588591615244931,4.865325041296963,14.670470210061158,4.405947493543679,13.093617374739164,99,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 18 2015,2015-10-18,25.485,3.780573803830171,7.483775803561799,4.884794140565082,14.670470210061158,4.405947493543679,13.093617374739164,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 19 2015,2015-10-19,24.967,3.2686154200774142,7.392330556040156,4.915339374686838,14.670470210061158,4.405947493543679,13.093617374739164,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 20 2015,2015-10-20,24.766,3.1681610803484284,7.296537094076139,4.944560716194755,14.670470210061158,4.405947493543679,13.093617374739164,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 21 2015,2015-10-21,22.945,3.2285432884688543,7.289924938861732,5.0365463048528545,14.670470210061158,4.405947493543679,13.093617374739164,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 22 2015,2015-10-22,21.857,3.3096885563795775,7.3247622975360285,5.1600306928603175,14.670470210061158,4.405947493543679,13.093617374739164,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
Oct 23 2015,2015-10-23,23.408,3.22638564031023,7.233555968310478,5.202927649219802,14.670470210061158,4.405947493543679,13.093617374739164,94,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Well-Worn,0,1,0
