date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,2.359,,,,1.6181331995438344,0.5853645643658053,1.3480663013488665,180,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 14 2014,2014-02-14,0.682,1.1858180720498401,1.1858180720498404,1.1858180720498401,1.6181331995438344,0.5853645643658053,1.3480663013488665,216,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 15 2014,2014-02-15,0.52,1.0182087212354842,1.2248743164137248,1.0182087212354842,1.6181331995438344,0.5853645643658053,1.3480663013488665,226,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 16 2014,2014-02-16,0.461,0.9071576489232728,1.236803579443776,0.9071576489232728,1.6181331995438344,0.5853645643658053,1.3480663013488665,198,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 17 2014,2014-02-17,0.372,0.8351441192991782,1.2477518779926777,0.8351441192991782,1.6181331995438344,0.5853645643658053,1.3480663013488665,188,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 18 2014,2014-02-18,0.342,0.7784589049311894,1.2483042338558075,0.7784589049311894,1.6181331995438344,0.5853645643658053,1.3480663013488665,174,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 19 2014,2014-02-19,0.337,0.7309089579160354,1.2401611286395557,0.7309089579160354,1.6181331995438344,0.5853645643658053,1.3480663013488665,172,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 20 2014,2014-02-20,0.395,0.6866575357691572,1.2198564818253363,0.6866575357691572,1.6181331995438344,0.5853645643658053,1.3480663013488665,150,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 21 2014,2014-02-21,0.29,0.6555653624501865,1.2088736207447848,0.6555653624501865,1.6181331995438344,0.5853645643658053,1.3480663013488665,205,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 22 2014,2014-02-22,0.262,0.6295123333007684,1.196644373192527,0.6295123333007684,1.6181331995438344,0.5853645643658053,1.3480663013488665,185,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
Feb 23 2014,2014-02-23,0.343,0.6022918501252301,1.1742302060398437,0.6022918501252301,1.6181331995438344,0.5853645643658053,1.3480663013488665,165,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,0,1,0
