date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,7.947,76,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 14 2014,2014-02-14,4.225,110,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 15 2014,2014-02-15,3.8,107,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 16 2014,2014-02-16,3.343,102,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 17 2014,2014-02-17,2.608,104,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 18 2014,2014-02-18,2.293,110,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 19 2014,2014-02-19,2.583,81,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 20 2014,2014-02-20,2.86,77,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 21 2014,2014-02-21,2.128,133,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 22 2014,2014-02-22,2.077,117,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 23 2014,2014-02-23,2.274,90,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 24 2014,2014-02-24,2.04,109,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 25 2014,2014-02-25,2.275,81,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 26 2014,2014-02-26,1.891,85,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 27 2014,2014-02-27,1.743,91,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Feb 28 2014,2014-02-28,1.85,109,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 01 2014,2014-03-01,1.856,114,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 02 2014,2014-03-02,1.724,102,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 03 2014,2014-03-03,1.637,98,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 04 2014,2014-03-04,1.516,72,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 05 2014,2014-03-05,1.483,83,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 06 2014,2014-03-06,1.544,82,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 07 2014,2014-03-07,1.555,114,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 08 2014,2014-03-08,1.538,115,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 09 2014,2014-03-09,1.477,120,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
Mar 10 2014,2014-03-10,1.52,84,USP-S | Stainless,USP-S,Stainless,Factory New,0,1,0
