date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,2.645,,,,4.614934057720818,0.8893534775314476,4.232635595899134,315,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 14 2014,2014-02-14,1.579,0.7537758287448598,0.7537758287448598,0.7537758287448598,4.614934057720818,0.8893534775314476,4.232635595899134,398,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 15 2014,2014-02-15,1.304,0.7083151370211803,0.8456027746180423,0.7083151370211803,4.614934057720818,0.8893534775314476,4.232635595899134,457,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 16 2014,2014-02-16,1.198,0.6620969214045127,0.8905046684924971,0.6620969214045127,4.614934057720818,0.8893534775314476,4.232635595899134,370,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 17 2014,2014-02-17,0.92,0.6669000674763799,0.9628908117345258,0.6669000674763799,4.614934057720818,0.8893534775314476,4.232635595899134,382,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 18 2014,2014-02-18,0.828,0.6616278913911252,1.0100638814088199,0.6616278913911252,4.614934057720818,0.8893534775314476,4.232635595899134,402,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 19 2014,2014-02-19,0.741,0.6551159839150258,1.0444068974226557,0.6551159839150258,4.614934057720818,0.8893534775314476,4.232635595899134,355,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 20 2014,2014-02-20,0.963,0.6192575623853361,1.0317790252110295,0.6192575623853361,4.614934057720818,0.8893534775314476,4.232635595899134,284,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 21 2014,2014-02-21,0.672,0.6128444156372624,1.0495951163011374,0.6128444156372624,4.614934057720818,0.8893534775314476,4.232635595899134,371,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 22 2014,2014-02-22,0.6,0.6087011673318123,1.064113078827736,0.6087011673318123,4.614934057720818,0.8893534775314476,4.232635595899134,449,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 23 2014,2014-02-23,0.678,0.5943834391428421,1.0611426349616433,0.5943834391428421,4.614934057720818,0.8893534775314476,4.232635595899134,346,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 24 2014,2014-02-24,0.656,0.5811980312381929,1.0552562690116445,0.5811980312381929,4.614934057720818,0.8893534775314476,4.232635595899134,329,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 25 2014,2014-02-25,0.696,0.5658045100471925,1.0422933664228422,0.5658045100471925,4.614934057720818,0.8893534775314476,4.232635595899134,309,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 26 2014,2014-02-26,0.674,0.5521929707295058,1.0286801632603542,0.5521929707295058,4.614934057720818,0.8893534775314476,4.232635595899134,296,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 27 2014,2014-02-27,0.657,0.5398996996797513,1.014216495541314,0.5398996996797513,4.614934057720818,0.8893534775314476,4.232635595899134,298,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
Feb 28 2014,2014-02-28,0.634,0.5290223333344884,0.9994807278007664,0.5290223333344884,4.614934057720818,0.8893534775314476,4.232635595899134,393,USP-S | Stainless,USP-S,Stainless,Minimal Wear,0,1,0
