date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 13 2014,2014-02-13,1.227,,,,2.5065816532088436,0.9302862236520931,2.2175465579187823,24,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 14 2014,2014-02-14,1.04,0.1322289680818845,0.13222896808188445,0.1322289680818845,2.5065816532088436,0.9302862236520931,2.2175465579187823,37,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 15 2014,2014-02-15,0.904,0.1621696642408809,0.18574881598952242,0.1621696642408809,2.5065816532088436,0.9302862236520931,2.2175465579187823,48,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 16 2014,2014-02-16,0.848,0.16867992372142782,0.2137677712376059,0.16867992372142782,2.5065816532088436,0.9302862236520931,2.2175465579187823,60,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 17 2014,2014-02-17,0.686,0.2041078146470635,0.26426275634594215,0.2041078146470635,2.5065816532088436,0.9302862236520931,2.2175465579187823,47,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 18 2014,2014-02-18,0.677,0.21200000000000005,0.2883222043586594,0.21200000000000005,2.5065816532088436,0.9302862236520931,2.2175465579187823,35,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 19 2014,2014-02-19,0.602,0.22335056792064847,0.31321533963800324,0.22335056792064847,2.5065816532088436,0.9302862236520931,2.2175465579187823,30,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 20 2014,2014-02-20,0.67,0.21686516548307158,0.3169294679243828,0.21686516548307158,2.5065816532088436,0.9302862236520931,2.2175465579187823,40,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 21 2014,2014-02-21,0.521,0.22777443764488686,0.3372929572567604,0.22777443764488686,2.5065816532088436,0.9302862236520931,2.2175465579187823,40,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 22 2014,2014-02-22,0.56,0.2274731974443485,0.34438410854661505,0.2274731974443485,2.5065816532088436,0.9302862236520931,2.2175465579187823,46,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 23 2014,2014-02-23,0.638,0.21963324802124934,0.3401193071540044,0.21963324802124934,2.5065816532088436,0.9302862236520931,2.2175465579187823,45,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 24 2014,2014-02-24,0.827,0.21027226218030814,0.3242674311776787,0.21027226218030814,2.5065816532088436,0.9302862236520931,2.2175465579187823,34,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 25 2014,2014-02-25,0.678,0.2028167671215598,0.3176334436359554,0.2028167671215598,2.5065816532088436,0.9302862236520931,2.2175465579187823,24,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 26 2014,2014-02-26,0.526,0.20463733667256218,0.32312046270090655,0.20463733667256218,2.5065816532088436,0.9302862236520931,2.2175465579187823,32,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 27 2014,2014-02-27,0.527,0.20493848089702665,0.32568773699048836,0.20493848089702665,2.5065816532088436,0.9302862236520931,2.2175465579187823,35,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Feb 28 2014,2014-02-28,0.64,0.19922825059045554,0.31847632151757227,0.19922825059045554,2.5065816532088436,0.9302862236520931,2.2175465579187823,32,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 01 2014,2014-03-01,0.585,0.1957918124527413,0.3144346203202334,0.1957918124527413,2.5065816532088436,0.9302862236520931,2.2175465579187823,42,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 02 2014,2014-03-02,0.537,0.19452725500858867,0.31290794793698884,0.19452725500858867,2.5065816532088436,0.9302862236520931,2.2175465579187823,52,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 03 2014,2014-03-03,0.558,0.19203770341306353,0.30896956669775355,0.19203770341306353,2.5065816532088436,0.9302862236520931,2.2175465579187823,35,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 04 2014,2014-03-04,0.523,0.1909414625094905,0.30655554522438927,0.1909414625094905,2.5065816532088436,0.9302862236520931,2.2175465579187823,37,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 05 2014,2014-03-05,0.477,0.1917546547519711,0.3062685571377147,0.1917546547519711,2.5065816532088436,0.9302862236520931,2.2175465579187823,29,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 06 2014,2014-03-06,0.419,0.19514771849712217,0.30883437752578896,0.19514771849712217,2.5065816532088436,0.9302862236520931,2.2175465579187823,34,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 07 2014,2014-03-07,0.519,0.1931362541011432,0.30348052397179515,0.1931362541011432,2.5065816532088436,0.9302862236520931,2.2175465579187823,32,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 08 2014,2014-03-08,0.417,0.19531540823921748,0.3037689178804946,0.19531540823921748,2.5065816532088436,0.9302862236520931,2.2175465579187823,53,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
Mar 09 2014,2014-03-09,0.405,0.19739429238624576,0.3035119661182885,0.19739429238624576,2.5065816532088436,0.9302862236520931,2.2175465579187823,41,USP-S | Stainless,USP-S,Stainless,Well-Worn,0,1,0
