date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,1.017,,,,0.6604087955370003,0.709803246123491,0.3926561800545779,74,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
May 28 2015,2015-05-28,0.9,0.08273149339882593,0.082731493398826,0.08273149339882593,0.6604087955370003,0.709803246123491,0.3926561800545779,58,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
May 29 2015,2015-05-29,0.82,0.09907741081262324,0.11395247466240918,0.09907741081262324,0.6604087955370003,0.709803246123491,0.3926561800545779,71,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
May 30 2015,2015-05-30,0.878,0.08269774281482327,0.10637738178916283,0.08269774281482327,0.6604087955370003,0.709803246123491,0.3926561800545779,57,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
May 31 2015,2015-05-31,0.891,0.07184497198830263,0.09954648846031175,0.07184497198830263,0.6604087955370003,0.709803246123491,0.3926561800545779,48,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 01 2015,2015-06-01,1.007,0.07742717008044821,0.08915151831527061,0.07742717008044821,0.6604087955370003,0.709803246123491,0.3926561800545779,18,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 02 2015,2015-06-02,1.051,0.08655193871449725,0.08407160059943967,0.08655193871449725,0.6604087955370003,0.709803246123491,0.3926561800545779,36,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 03 2015,2015-06-03,0.825,0.08949371486311197,0.0936356515801451,0.08949371486311197,0.6604087955370003,0.709803246123491,0.3926561800545779,14,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 04 2015,2015-06-04,0.583,0.14106627677954936,0.14989791222536483,0.14106627677954936,0.6604087955370003,0.709803246123491,0.3926561800545779,45,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 05 2015,2015-06-05,0.495,0.18154708602575922,0.1961062484334441,0.18154708602575922,0.6604087955370003,0.709803246123491,0.3926561800545779,50,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 06 2015,2015-06-06,0.518,0.19870974721025542,0.21924680231369087,0.19870974721025542,0.6604087955370003,0.709803246123491,0.3926561800545779,66,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 07 2015,2015-06-07,0.582,0.2012235866348222,0.22606936652052062,0.2012235866348222,0.6604087955370003,0.709803246123491,0.3926561800545779,45,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 08 2015,2015-06-08,0.581,0.20177691413272,0.23007132463194377,0.20177691413272,0.6604087955370003,0.709803246123491,0.3926561800545779,25,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 09 2015,2015-06-09,0.595,0.20010751231154833,0.23073497222859526,0.20010751231154833,0.6604087955370003,0.709803246123491,0.3926561800545779,36,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 10 2015,2015-06-10,0.523,0.20288788834746943,0.23656850225691264,0.20288788834746943,0.6604087955370003,0.709803246123491,0.3926561800545779,42,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
Jun 11 2015,2015-06-11,0.415,0.2132558615841543,0.2510919885381066,0.2132558615841543,0.6604087955370003,0.709803246123491,0.3926561800545779,49,USP-S | Torque,USP-S,Torque,Battle-Scarred,0,1,0
