date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,2.788,,,,0.5608892353255713,0.3050215005786033,0.3280028466850915,5026,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
May 28 2015,2015-05-28,2.284,0.3563818177180203,0.3563818177180203,0.3563818177180203,0.5608892353255713,0.3050215005786033,0.3280028466850915,4333,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
May 29 2015,2015-05-29,2.488,0.25351923003985344,0.2871255453653193,0.25351923003985344,0.5608892353255713,0.3050215005786033,0.3280028466850915,2696,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
May 30 2015,2015-05-30,2.604,0.2112155297320727,0.24118206602390532,0.2112155297320727,0.5608892353255713,0.3050215005786033,0.3280028466850915,2197,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
May 31 2015,2015-05-31,2.705,0.19707409773991122,0.20854919002909714,0.19707409773991122,0.5608892353255713,0.3050215005786033,0.3280028466850915,1599,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 01 2015,2015-06-01,2.804,0.19975626815363456,0.18789766701604588,0.19975626815363456,0.5608892353255713,0.3050215005786033,0.3280028466850915,1426,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 02 2015,2015-06-02,2.767,0.19151215303970878,0.17122027587936167,0.19151215303970878,0.5608892353255713,0.3050215005786033,0.3280028466850915,1224,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 03 2015,2015-06-03,2.243,0.22488977458809858,0.22316299802194065,0.22488977458809858,0.5608892353255713,0.3050215005786033,0.3280028466850915,2307,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 04 2015,2015-06-04,1.595,0.3914537009660275,0.4000256903915823,0.3914537009660275,0.5608892353255713,0.3050215005786033,0.3280028466850915,3203,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 05 2015,2015-06-05,1.532,0.4745498451749359,0.49854843471398297,0.4745498451749359,0.5608892353255713,0.3050215005786033,0.3280028466850915,2994,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 06 2015,2015-06-06,1.581,0.5107441807615808,0.5495804366804969,0.5107441807615808,0.5608892353255713,0.3050215005786033,0.3280028466850915,2678,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 07 2015,2015-06-07,1.662,0.5214890321052407,0.5719581647945968,0.5214890321052407,0.5608892353255713,0.3050215005786033,0.3280028466850915,2428,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 08 2015,2015-06-08,1.671,0.5248532517737087,0.5845501155597669,0.5248532517737087,0.5608892353255713,0.3050215005786033,0.3280028466850915,2055,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 09 2015,2015-06-09,1.708,0.5217739605749467,0.5878297386602157,0.5217739605749467,0.5608892353255713,0.3050215005786033,0.3280028466850915,1845,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 10 2015,2015-06-10,1.618,0.5228667771685889,0.5952732111378911,0.5228667771685889,0.5608892353255713,0.3050215005786033,0.3280028466850915,2294,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 11 2015,2015-06-11,1.33,0.5439054452139024,0.6263910229984581,0.5439054452139024,0.5608892353255713,0.3050215005786033,0.3280028466850915,2451,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 12 2015,2015-06-12,1.167,0.571883427292455,0.6644608208347446,0.571883427292455,0.5608892353255713,0.3050215005786033,0.3280028466850915,2712,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 13 2015,2015-06-13,1.155,0.592080203452422,0.6914030533730285,0.592080203452422,0.5608892353255713,0.3050215005786033,0.3280028466850915,2862,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 14 2015,2015-06-14,1.079,0.6116675080064962,0.7163158745242001,0.6116675080064962,0.5608892353255713,0.3050215005786033,0.3280028466850915,2766,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 15 2015,2015-06-15,1.089,0.6247421784013659,0.731627229699879,0.6247421784013659,0.5608892353255713,0.3050215005786033,0.3280028466850915,2352,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 16 2015,2015-06-16,1.119,0.6319429939631006,0.7381491102015466,0.6319429939631006,0.5608892353255713,0.3050215005786033,0.3280028466850915,2204,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 17 2015,2015-06-17,1.073,0.6389420571389491,0.7435961505160061,0.6389420571389491,0.5608892353255713,0.3050215005786033,0.3280028466850915,2327,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 18 2015,2015-06-18,1.008,0.6468601512969927,0.749541633156057,0.6468601512969927,0.5608892353255713,0.3050215005786033,0.3280028466850915,2550,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 19 2015,2015-06-19,0.937,0.6559301049168513,0.7563266960344834,0.6559301049168513,0.5608892353255713,0.3050215005786033,0.3280028466850915,2994,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 20 2015,2015-06-20,0.924,0.6630443222992963,0.7595250344007689,0.6630443222992963,0.5608892353255713,0.3050215005786033,0.3280028466850915,3119,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 21 2015,2015-06-21,0.89,0.6695990545439514,0.7612374937033805,0.6695990545439514,0.5608892353255713,0.3050215005786033,0.3280028466850915,2983,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
Jun 22 2015,2015-06-22,0.884,0.6744674019945486,0.7598450789544396,0.6744674019945486,0.5608892353255713,0.3050215005786033,0.3280028466850915,3048,USP-S | Torque,USP-S,Torque,Factory New,0,1,0
