date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,1.061,7049,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
May 28 2015,2015-05-28,0.888,6165,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
May 29 2015,2015-05-29,0.969,4183,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
May 30 2015,2015-05-30,1.03,3550,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
May 31 2015,2015-05-31,1.034,2775,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 01 2015,2015-06-01,1.066,2255,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 02 2015,2015-06-02,1.079,2032,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 03 2015,2015-06-03,0.891,3196,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 04 2015,2015-06-04,0.585,4663,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 05 2015,2015-06-05,0.516,4613,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 06 2015,2015-06-06,0.547,4255,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 07 2015,2015-06-07,0.595,3900,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 08 2015,2015-06-08,0.603,3126,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 09 2015,2015-06-09,0.626,2751,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 10 2015,2015-06-10,0.584,3522,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 11 2015,2015-06-11,0.447,3939,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 12 2015,2015-06-12,0.375,4451,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 13 2015,2015-06-13,0.363,4524,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 14 2015,2015-06-14,0.349,4204,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 15 2015,2015-06-15,0.343,3950,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 16 2015,2015-06-16,0.353,3578,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 17 2015,2015-06-17,0.342,3487,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 18 2015,2015-06-18,0.321,3837,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 19 2015,2015-06-19,0.292,4592,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 20 2015,2015-06-20,0.283,4892,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 21 2015,2015-06-21,0.27,4736,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 22 2015,2015-06-22,0.274,4610,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 23 2015,2015-06-23,0.292,4115,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 24 2015,2015-06-24,0.298,4401,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 25 2015,2015-06-25,0.298,4418,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 26 2015,2015-06-26,0.296,4687,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 27 2015,2015-06-27,0.291,4841,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 28 2015,2015-06-28,0.286,4676,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 29 2015,2015-06-29,0.278,4790,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jun 30 2015,2015-06-30,0.276,4787,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 01 2015,2015-07-01,0.276,4596,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 02 2015,2015-07-02,0.275,4159,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 03 2015,2015-07-03,0.267,4252,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 04 2015,2015-07-04,0.251,4049,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 05 2015,2015-07-05,0.237,4237,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 06 2015,2015-07-06,0.231,4556,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 07 2015,2015-07-07,0.23,4675,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 08 2015,2015-07-08,0.225,4173,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 09 2015,2015-07-09,0.221,4801,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 10 2015,2015-07-10,0.226,4519,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 11 2015,2015-07-11,0.224,4451,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 12 2015,2015-07-12,0.221,4697,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 13 2015,2015-07-13,0.217,4843,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 14 2015,2015-07-14,0.222,4298,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 15 2015,2015-07-15,0.216,4668,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 16 2015,2015-07-16,0.215,4460,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 17 2015,2015-07-17,0.207,4547,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 18 2015,2015-07-18,0.21,4460,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 19 2015,2015-07-19,0.207,4423,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 20 2015,2015-07-20,0.205,5016,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 21 2015,2015-07-21,0.203,4768,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 22 2015,2015-07-22,0.204,4614,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 23 2015,2015-07-23,0.193,4882,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 24 2015,2015-07-24,0.191,4578,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 25 2015,2015-07-25,0.191,4680,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 26 2015,2015-07-26,0.192,4478,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 27 2015,2015-07-27,0.196,5339,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 28 2015,2015-07-28,0.19,5026,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 29 2015,2015-07-29,0.182,4329,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 30 2015,2015-07-30,0.174,4376,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Jul 31 2015,2015-07-31,0.167,4537,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 01 2015,2015-08-01,0.161,4477,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 02 2015,2015-08-02,0.159,4694,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 03 2015,2015-08-03,0.158,4665,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 04 2015,2015-08-04,0.157,4483,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 05 2015,2015-08-05,0.155,4908,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 06 2015,2015-08-06,0.156,4939,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 07 2015,2015-08-07,0.159,4874,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 08 2015,2015-08-08,0.154,4428,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 09 2015,2015-08-09,0.153,4477,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 10 2015,2015-08-10,0.153,4710,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 11 2015,2015-08-11,0.154,4720,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 12 2015,2015-08-12,0.149,4815,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 13 2015,2015-08-13,0.145,4294,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 14 2015,2015-08-14,0.142,4456,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 15 2015,2015-08-15,0.12,4589,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 16 2015,2015-08-16,0.112,4716,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 17 2015,2015-08-17,0.112,4779,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 18 2015,2015-08-18,0.114,4487,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 19 2015,2015-08-19,0.112,4609,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 20 2015,2015-08-20,0.106,5018,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 21 2015,2015-08-21,0.103,5497,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 22 2015,2015-08-22,0.106,5665,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 23 2015,2015-08-23,0.091,6244,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 24 2015,2015-08-24,0.089,6236,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 25 2015,2015-08-25,0.118,6079,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 26 2015,2015-08-26,0.132,5702,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 27 2015,2015-08-27,0.134,5273,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 28 2015,2015-08-28,0.134,5372,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 29 2015,2015-08-29,0.135,5421,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 30 2015,2015-08-30,0.137,5635,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Aug 31 2015,2015-08-31,0.137,5569,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 01 2015,2015-09-01,0.137,5014,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 02 2015,2015-09-02,0.139,4645,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 03 2015,2015-09-03,0.135,4626,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 04 2015,2015-09-04,0.132,5177,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 05 2015,2015-09-05,0.136,6031,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 06 2015,2015-09-06,0.135,5669,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 07 2015,2015-09-07,0.131,4644,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 08 2015,2015-09-08,0.13,4580,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 09 2015,2015-09-09,0.129,4012,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 10 2015,2015-09-10,0.13,5021,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 11 2015,2015-09-11,0.129,5358,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 12 2015,2015-09-12,0.129,6100,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 13 2015,2015-09-13,0.129,5977,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 14 2015,2015-09-14,0.125,4760,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 15 2015,2015-09-15,0.128,4569,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 16 2015,2015-09-16,0.127,5435,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 17 2015,2015-09-17,0.13,4849,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 18 2015,2015-09-18,0.122,6419,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 19 2015,2015-09-19,0.127,8269,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 20 2015,2015-09-20,0.134,7999,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 21 2015,2015-09-21,0.131,6344,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 22 2015,2015-09-22,0.14,6351,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 23 2015,2015-09-23,0.141,6433,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 24 2015,2015-09-24,0.142,5774,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 25 2015,2015-09-25,0.148,6828,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 26 2015,2015-09-26,0.152,8280,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 27 2015,2015-09-27,0.155,7449,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 28 2015,2015-09-28,0.154,5550,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 29 2015,2015-09-29,0.153,5187,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Sep 30 2015,2015-09-30,0.15,5375,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Oct 01 2015,2015-10-01,0.152,5660,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Oct 02 2015,2015-10-02,0.151,6419,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Oct 03 2015,2015-10-03,0.153,7007,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
Oct 04 2015,2015-10-04,0.155,6088,USP-S | Torque,USP-S,Torque,Field-Tested,0,1,0
