date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,2.086,,,,0.457142784641319,0.25341127493722715,0.2583933786803937,4198,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
May 28 2015,2015-05-28,1.728,0.253144227664784,0.25314422766478395,0.253144227664784,0.457142784641319,0.25341127493722715,0.2583933786803937,4138,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
May 29 2015,2015-05-29,1.914,0.17904561802326616,0.19463310485370786,0.17904561802326616,0.457142784641319,0.25341127493722715,0.2583933786803937,2466,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
May 30 2015,2015-05-30,1.985,0.15100634644499766,0.1613831731095299,0.15100634644499766,0.457142784641319,0.25341127493722715,0.2583933786803937,2126,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
May 31 2015,2015-05-31,2.036,0.1393707286341002,0.13949108213013503,0.1393707286341002,0.457142784641319,0.25341127493722715,0.2583933786803937,1576,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 01 2015,2015-06-01,2.071,0.13411785861696424,0.12462278761246237,0.13411785861696424,0.457142784641319,0.25341127493722715,0.2583933786803937,1408,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 02 2015,2015-06-02,2.113,0.13383180631282082,0.11530265401372285,0.13383180631282082,0.457142784641319,0.25341127493722715,0.2583933786803937,1180,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 03 2015,2015-06-03,1.696,0.16182789579409,0.15635057713495704,0.16182789579409,0.457142784641319,0.25341127493722715,0.2583933786803937,2210,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 04 2015,2015-06-04,1.174,0.30074864920727407,0.3016432188246258,0.30074864920727407,0.457142784641319,0.25341127493722715,0.2583933786803937,3039,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 05 2015,2015-06-05,1.136,0.3658358617983996,0.3779041610514374,0.3658358617983996,0.457142784641319,0.25341127493722715,0.2583933786803937,2865,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 06 2015,2015-06-06,1.201,0.3903967212977076,0.41320856996814476,0.3903967212977076,0.457142784641319,0.25341127493722715,0.2583933786803937,2536,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 07 2015,2015-06-07,1.235,0.39975775808796393,0.43139376297586135,0.39975775808796393,0.457142784641319,0.25341127493722715,0.2583933786803937,2346,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 08 2015,2015-06-08,1.219,0.40513237785906914,0.44423255544158,0.40513237785906914,0.457142784641319,0.25341127493722715,0.2583933786803937,1969,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 09 2015,2015-06-09,1.244,0.4048850603417124,0.44931076060614455,0.4048850603417124,0.457142784641319,0.25341127493722715,0.2583933786803937,1694,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
Jun 10 2015,2015-06-10,1.17,0.4079315185291813,0.4576998470266849,0.4079315185291813,0.457142784641319,0.25341127493722715,0.2583933786803937,2260,USP-S | Torque,USP-S,Torque,Minimal Wear,0,1,0
