Month,Avg. Players,Gain,% Gain,Peak Players
7/1/2025,920070,-90054,-0.0892,1427300
6/1/2025,1010124,-28472.8,-0.0274,1725815
5/1/2025,1038596.8,-7104.8,-0.0068,1712216
4/1/2025,1045701.7,6038.8,0.0058,1811827
3/1/2025,1039662.8,36092.3,0.0360,1818368
2/1/2025,1003570.6,89478.3,0.0979,1783434
1/1/2025,914092.2,138.9,0.0002,1594016
12/1/2024,913953.4,61789.1,0.0725,1740261
11/1/2024,852164.3,22725.5,0.0274,1556938
10/1/2024,829438.8,-6867.9,-0.0082,1484045
9/1/2024,836306.7,-61031.2,-0.0680,1473144
8/1/2024,897337.9,21972.8,0.0251,1425958
7/1/2024,875365.1,-72155.4,-0.0762,1342171
6/1/2024,947520.5,-10686.8,-0.0112,1510840
5/1/2024,958207.3,27458.4,0.0295,1614925
4/1/2024,930749,45119.3,0.0509,1618685
3/1/2024,885629.7,98998.9,0.1259,1521796
2/1/2024,786630.8,25771.6,0.0339,1347519
1/1/2024,760859.2,-9235.6,-0.0120,1277907
12/1/2023,770094.8,55583.4,0.0778,1248217
11/1/2023,714511.4,-77613.5,-0.0980,1161043
10/1/2023,792125,-184013,-0.1885,1364902
9/1/2023,976138,53985.1,0.0585,1556326
8/1/2023,922152.9,40461.9,0.0459,1369511
7/1/2023,881690.9,-204275.9,-0.1881,1222913
6/1/2023,1085966.8,-31550.6,-0.0282,1665869
5/1/2023,1117517.4,199431.8,0.2172,1802853
4/1/2023,918085.6,74611.1,0.0885,1510231
3/1/2023,843474.5,38368.6,0.0477,1519457
2/1/2023,805105.9,78955.6,0.1087,1354248
1/1/2023,726150.3,96825.3,0.1539,1199684
12/1/2022,629325,8319,0.0134,1065079
11/1/2022,621006,12656.5,0.0208,1129095
10/1/2022,608349.5,-10426.5,-0.0169,1078860
9/1/2022,618776,-22668.7,-0.0353,1100366
8/1/2022,641444.8,46991.7,0.0791,1039889
7/1/2022,594453.1,22230.6,0.0388,928329
6/1/2022,572222.5,7260.8,0.0129,906670
5/1/2022,564961.7,-4021.5,-0.0071,923996
4/1/2022,568983.2,-12506.5,-0.0215,1013237
3/1/2022,581489.7,-53148.7,-0.0837,987993
2/1/2022,634638.4,32262.1,0.0536,995163
1/1/2022,602376.3,55762.1,0.1020,991625
12/1/2021,546614.2,-1547.5,-0.0028,950586
11/1/2021,548161.7,35725.8,0.0697,935593
10/1/2021,512435.8,84.9,0.0002,864966
9/1/2021,512350.9,269,0.0005,942519
8/1/2021,512082,6014.6,0.0119,802544
7/1/2021,506067.4,-43279.7,-0.0788,763523
6/1/2021,549347.1,-110541.8,-0.1675,929940
5/1/2021,659888.9,-63457.6,-0.0877,1087197
