date,py_date,median_price,volume_sold,item,treated_unit,post_treat
Oct 12 2016,2016-10-12,9.97,2,Bracers of the Survivor,0,0
Oct 13 2016,2016-10-13,6.061,67,Bracers of the Survivor,0,0
Oct 14 2016,2016-10-14,6.38,64,Bracers of the Survivor,0,0
Oct 15 2016,2016-10-15,7.27,45,Bracers of the Survivor,0,0
Oct 16 2016,2016-10-16,6.884,54,Bracers of the Survivor,0,0
Oct 17 2016,2016-10-17,6.419,46,Bracers of the Survivor,0,0
Oct 18 2016,2016-10-18,6.009,49,Bracers of the Survivor,0,0
Oct 19 2016,2016-10-19,6.369,40,Bracers of the Survivor,0,0
Oct 20 2016,2016-10-20,5.793,43,Bracers of the Survivor,0,0
Oct 21 2016,2016-10-21,5.327,42,Bracers of the Survivor,0,0
Oct 22 2016,2016-10-22,5.098,65,Bracers of the Survivor,0,0
Oct 23 2016,2016-10-23,4.946,62,Bracers of the Survivor,0,0
Oct 24 2016,2016-10-24,5.22,41,Bracers of the Survivor,0,0
Oct 25 2016,2016-10-25,5.303,46,Bracers of the Survivor,0,0
Oct 26 2016,2016-10-26,4.982,48,Bracers of the Survivor,0,0
Oct 27 2016,2016-10-27,4.948,40,Bracers of the Survivor,0,0
Oct 28 2016,2016-10-28,4.722,46,Bracers of the Survivor,0,0
Oct 29 2016,2016-10-29,4.719,103,Bracers of the Survivor,0,0
Oct 30 2016,2016-10-30,4.792,55,Bracers of the Survivor,0,0
Oct 31 2016,2016-10-31,5.634,46,Bracers of the Survivor,0,0
Nov 01 2016,2016-11-01,5.22,51,Bracers of the Survivor,0,0
Nov 02 2016,2016-11-02,4.937,31,Bracers of the Survivor,0,0
Nov 03 2016,2016-11-03,5.073,43,Bracers of the Survivor,0,0
Nov 04 2016,2016-11-04,4.989,44,Bracers of the Survivor,0,0
Nov 05 2016,2016-11-05,5.729,53,Bracers of the Survivor,0,0
Nov 06 2016,2016-11-06,5.343,43,Bracers of the Survivor,0,0
Nov 07 2016,2016-11-07,5.411,46,Bracers of the Survivor,0,0
Nov 08 2016,2016-11-08,5.108,45,Bracers of the Survivor,0,0
Nov 09 2016,2016-11-09,5.508,43,Bracers of the Survivor,0,0
Nov 10 2016,2016-11-10,5.037,35,Bracers of the Survivor,0,0
Nov 11 2016,2016-11-11,5.33,41,Bracers of the Survivor,0,0
Nov 12 2016,2016-11-12,4.798,54,Bracers of the Survivor,0,0
Nov 13 2016,2016-11-13,4.938,37,Bracers of the Survivor,0,0
Nov 14 2016,2016-11-14,4.593,48,Bracers of the Survivor,0,0
Nov 15 2016,2016-11-15,4.924,31,Bracers of the Survivor,0,0
Nov 16 2016,2016-11-16,4.483,35,Bracers of the Survivor,0,0
Nov 17 2016,2016-11-17,4.572,36,Bracers of the Survivor,0,0
Nov 18 2016,2016-11-18,5.132,69,Bracers of the Survivor,0,0
Nov 19 2016,2016-11-19,5.039,42,Bracers of the Survivor,0,0
Nov 20 2016,2016-11-20,5.014,41,Bracers of the Survivor,0,0
Nov 21 2016,2016-11-21,4.806,38,Bracers of the Survivor,0,0
Nov 22 2016,2016-11-22,4.974,36,Bracers of the Survivor,0,0
Nov 23 2016,2016-11-23,4.718,40,Bracers of the Survivor,0,0
Nov 24 2016,2016-11-24,4.415,45,Bracers of the Survivor,0,0
Nov 25 2016,2016-11-25,4.777,53,Bracers of the Survivor,0,0
Nov 26 2016,2016-11-26,5.135,49,Bracers of the Survivor,0,0
Nov 27 2016,2016-11-27,4.464,37,Bracers of the Survivor,0,0
Nov 28 2016,2016-11-28,4.23,36,Bracers of the Survivor,0,0
Nov 29 2016,2016-11-29,4.867,38,Bracers of the Survivor,0,0
Nov 30 2016,2016-11-30,5.242,38,Bracers of the Survivor,0,0
Dec 01 2016,2016-12-01,5.129,32,Bracers of the Survivor,0,0
Dec 02 2016,2016-12-02,4.812,46,Bracers of the Survivor,0,0
Dec 03 2016,2016-12-03,4.71,46,Bracers of the Survivor,0,0
Dec 04 2016,2016-12-04,4.996,56,Bracers of the Survivor,0,0
Dec 05 2016,2016-12-05,4.964,36,Bracers of the Survivor,0,0
Dec 06 2016,2016-12-06,4.916,35,Bracers of the Survivor,0,0
Dec 07 2016,2016-12-07,5.071,41,Bracers of the Survivor,0,0
Dec 08 2016,2016-12-08,4.918,38,Bracers of the Survivor,0,0
Dec 09 2016,2016-12-09,4.824,46,Bracers of the Survivor,0,0
Dec 10 2016,2016-12-10,4.845,46,Bracers of the Survivor,0,0
Dec 11 2016,2016-12-11,4.54,58,Bracers of the Survivor,0,0
Dec 12 2016,2016-12-12,4.026,60,Bracers of the Survivor,0,0
Dec 13 2016,2016-12-13,4.499,58,Bracers of the Survivor,0,0
Dec 14 2016,2016-12-14,4.663,50,Bracers of the Survivor,0,0
Dec 15 2016,2016-12-15,4.878,50,Bracers of the Survivor,0,0
Dec 16 2016,2016-12-16,4.938,45,Bracers of the Survivor,0,0
Dec 17 2016,2016-12-17,4.873,53,Bracers of the Survivor,0,0
Dec 18 2016,2016-12-18,4.681,42,Bracers of the Survivor,0,0
Dec 19 2016,2016-12-19,4.594,45,Bracers of the Survivor,0,0
Dec 20 2016,2016-12-20,4.45,40,Bracers of the Survivor,0,0
Dec 21 2016,2016-12-21,4.443,38,Bracers of the Survivor,0,0
Dec 22 2016,2016-12-22,4.374,36,Bracers of the Survivor,0,0
Dec 23 2016,2016-12-23,4.421,38,Bracers of the Survivor,0,0
Dec 24 2016,2016-12-24,4.437,47,Bracers of the Survivor,0,0
