date,py_date,median_price,volume_sold,item,treated_unit,post_treat
Sep 01 2018,2018-09-01,0.567,14386,Crimson Cyrridae,0,1
Sep 02 2018,2018-09-02,0.591,8330,Crimson Cyrridae,0,1
Sep 03 2018,2018-09-03,0.641,4135,Crimson Cyrridae,0,1
Sep 04 2018,2018-09-04,0.662,2927,Crimson Cyrridae,0,1
Sep 05 2018,2018-09-05,0.637,2442,Crimson Cyrridae,0,1
Sep 06 2018,2018-09-06,0.64,2005,Crimson Cyrridae,0,1
Sep 07 2018,2018-09-07,0.642,2017,Crimson Cyrridae,0,1
Sep 08 2018,2018-09-08,0.649,2138,Crimson Cyrridae,0,1
Sep 09 2018,2018-09-09,0.652,1962,Crimson Cyrridae,0,1
Sep 10 2018,2018-09-10,0.634,1791,Crimson Cyrridae,0,1
Sep 11 2018,2018-09-11,0.617,1645,Crimson Cyrridae,0,1
Sep 12 2018,2018-09-12,0.597,1444,Crimson Cyrridae,0,1
Sep 13 2018,2018-09-13,0.6,1356,Crimson Cyrridae,0,1
Sep 14 2018,2018-09-14,0.59,1612,Crimson Cyrridae,0,1
Sep 15 2018,2018-09-15,0.591,1683,Crimson Cyrridae,0,1
Sep 16 2018,2018-09-16,0.586,1657,Crimson Cyrridae,0,1
Sep 17 2018,2018-09-17,0.588,1318,Crimson Cyrridae,0,1
Sep 18 2018,2018-09-18,0.588,1185,Crimson Cyrridae,0,1
Sep 19 2018,2018-09-19,0.589,1114,Crimson Cyrridae,0,1
Sep 20 2018,2018-09-20,0.587,1111,Crimson Cyrridae,0,1
Sep 21 2018,2018-09-21,0.556,1343,Crimson Cyrridae,0,1
Sep 22 2018,2018-09-22,0.574,1453,Crimson Cyrridae,0,1
Sep 23 2018,2018-09-23,0.566,1310,Crimson Cyrridae,0,1
Sep 24 2018,2018-09-24,0.577,1043,Crimson Cyrridae,0,1
Sep 25 2018,2018-09-25,0.57,1057,Crimson Cyrridae,0,1
Sep 26 2018,2018-09-26,0.545,971,Crimson Cyrridae,0,1
Sep 27 2018,2018-09-27,0.551,1036,Crimson Cyrridae,0,1
Sep 28 2018,2018-09-28,0.563,1098,Crimson Cyrridae,0,1
Sep 29 2018,2018-09-29,0.557,1344,Crimson Cyrridae,0,1
Sep 30 2018,2018-09-30,0.558,1208,Crimson Cyrridae,0,1
Oct 01 2018,2018-10-01,0.561,1051,Crimson Cyrridae,0,1
Oct 02 2018,2018-10-02,0.554,953,Crimson Cyrridae,0,1
