date,py_date,median_price,volume_sold,item,treated_unit,post_treat
Aug 14 2016,2016-08-14,0.552,11280,Jade Reckoning,0,0
Aug 15 2016,2016-08-15,0.641,5911,Jade Reckoning,0,0
Aug 16 2016,2016-08-16,0.727,3428,Jade Reckoning,0,0
Aug 17 2016,2016-08-17,0.761,2238,Jade Reckoning,0,0
Aug 18 2016,2016-08-18,0.754,1882,Jade Reckoning,0,0
Aug 19 2016,2016-08-19,0.742,2205,Jade Reckoning,0,0
Aug 20 2016,2016-08-20,0.747,2037,Jade Reckoning,0,0
Aug 21 2016,2016-08-21,0.743,1776,Jade Reckoning,0,0
Aug 22 2016,2016-08-22,0.779,1777,Jade Reckoning,0,0
Aug 23 2016,2016-08-23,0.783,1644,Jade Reckoning,0,0
Aug 24 2016,2016-08-24,0.749,1506,Jade Reckoning,0,0
Aug 25 2016,2016-08-25,0.752,1076,Jade Reckoning,0,0
Aug 26 2016,2016-08-26,0.756,1210,Jade Reckoning,0,0
Aug 27 2016,2016-08-27,0.763,1579,Jade Reckoning,0,0
Aug 28 2016,2016-08-28,0.768,1235,Jade Reckoning,0,0
Aug 29 2016,2016-08-29,0.777,1301,Jade Reckoning,0,0
Aug 30 2016,2016-08-30,0.795,1645,Jade Reckoning,0,0
Aug 31 2016,2016-08-31,0.668,2771,Jade Reckoning,0,0
Sep 01 2016,2016-09-01,0.613,1125,Jade Reckoning,0,0
Sep 02 2016,2016-09-02,0.595,895,Jade Reckoning,0,0
Sep 03 2016,2016-09-03,0.572,1066,Jade Reckoning,0,0
Sep 04 2016,2016-09-04,0.585,851,Jade Reckoning,0,0
Sep 05 2016,2016-09-05,0.593,710,Jade Reckoning,0,0
Sep 06 2016,2016-09-06,0.591,611,Jade Reckoning,0,0
Sep 07 2016,2016-09-07,0.589,567,Jade Reckoning,0,0
Sep 08 2016,2016-09-08,0.539,546,Jade Reckoning,0,0
Sep 09 2016,2016-09-09,0.594,721,Jade Reckoning,0,0
Sep 10 2016,2016-09-10,0.606,709,Jade Reckoning,0,0
Sep 11 2016,2016-09-11,0.603,623,Jade Reckoning,0,0
Sep 12 2016,2016-09-12,0.59,536,Jade Reckoning,0,0
Sep 13 2016,2016-09-13,0.595,504,Jade Reckoning,0,0
Sep 14 2016,2016-09-14,0.57,488,Jade Reckoning,0,0
Sep 15 2016,2016-09-15,0.575,508,Jade Reckoning,0,0
Sep 16 2016,2016-09-16,0.573,501,Jade Reckoning,0,0
Sep 17 2016,2016-09-17,0.56,662,Jade Reckoning,0,0
Sep 18 2016,2016-09-18,0.577,708,Jade Reckoning,0,0
Sep 19 2016,2016-09-19,0.58,617,Jade Reckoning,0,0
Sep 20 2016,2016-09-20,0.58,652,Jade Reckoning,0,0
Sep 21 2016,2016-09-21,0.578,527,Jade Reckoning,0,0
Sep 22 2016,2016-09-22,0.586,420,Jade Reckoning,0,0
Sep 23 2016,2016-09-23,0.571,566,Jade Reckoning,0,0
Sep 24 2016,2016-09-24,0.574,679,Jade Reckoning,0,0
Sep 25 2016,2016-09-25,0.573,584,Jade Reckoning,0,0
Sep 26 2016,2016-09-26,0.582,436,Jade Reckoning,0,0
Sep 27 2016,2016-09-27,0.579,516,Jade Reckoning,0,0
Sep 28 2016,2016-09-28,0.571,401,Jade Reckoning,0,0
Sep 29 2016,2016-09-29,0.568,365,Jade Reckoning,0,0
Sep 30 2016,2016-09-30,0.563,447,Jade Reckoning,0,0
Oct 01 2016,2016-10-01,0.576,539,Jade Reckoning,0,0
Oct 02 2016,2016-10-02,0.559,551,Jade Reckoning,0,0
Oct 03 2016,2016-10-03,0.562,436,Jade Reckoning,0,0
Oct 04 2016,2016-10-04,0.582,429,Jade Reckoning,0,0
Oct 05 2016,2016-10-05,0.581,596,Jade Reckoning,0,0
Oct 06 2016,2016-10-06,0.391,1082,Jade Reckoning,0,0
Oct 07 2016,2016-10-07,0.396,565,Jade Reckoning,0,0
Oct 08 2016,2016-10-08,0.389,593,Jade Reckoning,0,0
Oct 09 2016,2016-10-09,0.381,396,Jade Reckoning,0,0
Oct 10 2016,2016-10-10,0.346,364,Jade Reckoning,0,0
Oct 11 2016,2016-10-11,0.36,332,Jade Reckoning,0,0
Oct 12 2016,2016-10-12,0.353,306,Jade Reckoning,0,0
Oct 13 2016,2016-10-13,0.339,352,Jade Reckoning,0,0
Oct 14 2016,2016-10-14,0.323,357,Jade Reckoning,0,0
Oct 15 2016,2016-10-15,0.326,409,Jade Reckoning,0,0
Oct 16 2016,2016-10-16,0.329,403,Jade Reckoning,0,0
Oct 17 2016,2016-10-17,0.337,296,Jade Reckoning,0,0
Oct 18 2016,2016-10-18,0.334,295,Jade Reckoning,0,0
Oct 19 2016,2016-10-19,0.323,332,Jade Reckoning,0,0
Oct 20 2016,2016-10-20,0.306,365,Jade Reckoning,0,0
Oct 21 2016,2016-10-21,0.32,336,Jade Reckoning,0,0
Oct 22 2016,2016-10-22,0.315,397,Jade Reckoning,0,0
Oct 23 2016,2016-10-23,0.308,364,Jade Reckoning,0,0
Oct 24 2016,2016-10-24,0.3,319,Jade Reckoning,0,0
Oct 25 2016,2016-10-25,0.295,330,Jade Reckoning,0,0
Oct 26 2016,2016-10-26,0.296,305,Jade Reckoning,0,0
Oct 27 2016,2016-10-27,0.293,336,Jade Reckoning,0,0
Oct 28 2016,2016-10-28,0.292,360,Jade Reckoning,0,0
Oct 29 2016,2016-10-29,0.273,566,Jade Reckoning,0,0
Oct 30 2016,2016-10-30,0.276,367,Jade Reckoning,0,0
Oct 31 2016,2016-10-31,0.272,422,Jade Reckoning,0,0
Nov 01 2016,2016-11-01,0.279,360,Jade Reckoning,0,0
Nov 02 2016,2016-11-02,0.277,340,Jade Reckoning,0,0
Nov 03 2016,2016-11-03,0.295,303,Jade Reckoning,0,0
Nov 04 2016,2016-11-04,0.301,320,Jade Reckoning,0,0
Nov 05 2016,2016-11-05,0.298,419,Jade Reckoning,0,0
Nov 06 2016,2016-11-06,0.296,356,Jade Reckoning,0,0
Nov 07 2016,2016-11-07,0.287,346,Jade Reckoning,0,0
Nov 08 2016,2016-11-08,0.292,342,Jade Reckoning,0,0
Nov 09 2016,2016-11-09,0.298,339,Jade Reckoning,0,0
Nov 10 2016,2016-11-10,0.284,344,Jade Reckoning,0,0
Nov 11 2016,2016-11-11,0.28,428,Jade Reckoning,0,0
