date,py_date,median_price,volume_sold,item,treated_unit,post_treat
Sep 01 2015,2015-09-01,2.091,510,Magus Apex,0,0
Sep 02 2015,2015-09-02,2.399,202,Magus Apex,0,0
Sep 03 2015,2015-09-03,2.51,194,Magus Apex,0,0
Sep 04 2015,2015-09-04,2.694,171,Magus Apex,0,0
Sep 05 2015,2015-09-05,2.607,158,Magus Apex,0,0
Sep 06 2015,2015-09-06,2.512,164,Magus Apex,0,0
Sep 07 2015,2015-09-07,2.581,124,Magus Apex,0,0
Sep 08 2015,2015-09-08,1.967,185,Magus Apex,0,0
Sep 09 2015,2015-09-09,1.882,188,Magus Apex,0,0
Sep 10 2015,2015-09-10,2.407,121,Magus Apex,0,0
Sep 11 2015,2015-09-11,2.749,115,Magus Apex,0,0
Sep 12 2015,2015-09-12,3.387,101,Magus Apex,0,0
Sep 13 2015,2015-09-13,4.573,60,Magus Apex,0,0
Sep 14 2015,2015-09-14,3.701,75,Magus Apex,0,0
Sep 15 2015,2015-09-15,3.295,61,Magus Apex,0,0
Sep 16 2015,2015-09-16,2.872,67,Magus Apex,0,0
Sep 17 2015,2015-09-17,2.819,62,Magus Apex,0,0
Sep 18 2015,2015-09-18,3.177,62,Magus Apex,0,0
Sep 19 2015,2015-09-19,2.895,97,Magus Apex,0,0
Sep 20 2015,2015-09-20,3.694,97,Magus Apex,0,0
Sep 21 2015,2015-09-21,3.435,57,Magus Apex,0,0
Sep 22 2015,2015-09-22,3.029,75,Magus Apex,0,0
Sep 23 2015,2015-09-23,2.714,66,Magus Apex,0,0
Sep 24 2015,2015-09-24,2.458,74,Magus Apex,0,0
Sep 25 2015,2015-09-25,3.311,69,Magus Apex,0,0
Sep 26 2015,2015-09-26,3.151,112,Magus Apex,0,0
Sep 27 2015,2015-09-27,3.056,99,Magus Apex,0,0
Sep 28 2015,2015-09-28,2.778,89,Magus Apex,0,0
Sep 29 2015,2015-09-29,2.604,84,Magus Apex,0,0
Sep 30 2015,2015-09-30,2.936,87,Magus Apex,0,0
Oct 01 2015,2015-10-01,2.507,110,Magus Apex,0,0
Oct 02 2015,2015-10-02,2.335,109,Magus Apex,0,0
Oct 03 2015,2015-10-03,2.137,116,Magus Apex,0,0
Oct 04 2015,2015-10-04,2.09,131,Magus Apex,0,0
Oct 05 2015,2015-10-05,2.224,104,Magus Apex,0,0
Oct 06 2015,2015-10-06,2.303,89,Magus Apex,0,0
Oct 07 2015,2015-10-07,2.081,102,Magus Apex,0,0
Oct 08 2015,2015-10-08,2.088,99,Magus Apex,0,0
Oct 09 2015,2015-10-09,2.136,136,Magus Apex,0,0
Oct 10 2015,2015-10-10,1.692,193,Magus Apex,0,0
Oct 11 2015,2015-10-11,1.777,179,Magus Apex,0,0
Oct 12 2015,2015-10-12,1.808,151,Magus Apex,0,0
Oct 13 2015,2015-10-13,1.782,140,Magus Apex,0,0
Oct 14 2015,2015-10-14,1.657,140,Magus Apex,0,0
Oct 15 2015,2015-10-15,1.835,110,Magus Apex,0,0
Oct 16 2015,2015-10-16,1.797,132,Magus Apex,0,0
Oct 17 2015,2015-10-17,1.648,212,Magus Apex,0,0
Oct 18 2015,2015-10-18,1.785,148,Magus Apex,0,0
Oct 19 2015,2015-10-19,1.689,122,Magus Apex,0,0
Oct 20 2015,2015-10-20,1.623,126,Magus Apex,0,0
Oct 21 2015,2015-10-21,1.655,129,Magus Apex,0,0
