date,py_date,median_price,volume_sold,item,treated_unit,post_treat
May 31 2014,2014-05-31,1.956,1631,The Lightning Orchid,0,0
Jun 01 2014,2014-06-01,2.169,821,The Lightning Orchid,0,0
Jun 02 2014,2014-06-02,2.039,666,The Lightning Orchid,0,0
Jun 03 2014,2014-06-03,1.868,459,The Lightning Orchid,0,0
Jun 04 2014,2014-06-04,1.673,394,The Lightning Orchid,0,0
Jun 05 2014,2014-06-05,1.542,330,The Lightning Orchid,0,0
Jun 06 2014,2014-06-06,1.438,375,The Lightning Orchid,0,0
Jun 07 2014,2014-06-07,1.168,410,The Lightning Orchid,0,0
Jun 08 2014,2014-06-08,1.221,382,The Lightning Orchid,0,0
Jun 09 2014,2014-06-09,1.231,265,The Lightning Orchid,0,0
Jun 10 2014,2014-06-10,1.203,275,The Lightning Orchid,0,0
Jun 11 2014,2014-06-11,1.171,271,The Lightning Orchid,0,0
Jun 12 2014,2014-06-12,1.131,245,The Lightning Orchid,0,0
Jun 13 2014,2014-06-13,1.096,285,The Lightning Orchid,0,0
Jun 14 2014,2014-06-14,1.033,251,The Lightning Orchid,0,0
Jun 15 2014,2014-06-15,1.003,256,The Lightning Orchid,0,0
Jun 16 2014,2014-06-16,1.014,216,The Lightning Orchid,0,0
Jun 17 2014,2014-06-17,0.989,208,The Lightning Orchid,0,0
Jun 18 2014,2014-06-18,0.928,230,The Lightning Orchid,0,0
Jun 19 2014,2014-06-19,0.817,252,The Lightning Orchid,0,0
Jun 20 2014,2014-06-20,0.654,264,The Lightning Orchid,0,0
Jun 21 2014,2014-06-21,0.63,283,The Lightning Orchid,0,0
Jun 22 2014,2014-06-22,0.568,258,The Lightning Orchid,0,0
Jun 23 2014,2014-06-23,0.537,217,The Lightning Orchid,0,0
Jun 24 2014,2014-06-24,0.562,167,The Lightning Orchid,0,0
Jun 25 2014,2014-06-25,0.563,160,The Lightning Orchid,0,0
Jun 26 2014,2014-06-26,0.526,161,The Lightning Orchid,0,0
Jun 27 2014,2014-06-27,0.472,189,The Lightning Orchid,0,0
Jun 28 2014,2014-06-28,0.551,168,The Lightning Orchid,0,0
Jun 29 2014,2014-06-29,0.547,161,The Lightning Orchid,0,0
Jun 30 2014,2014-06-30,0.541,172,The Lightning Orchid,0,0
Jul 01 2014,2014-07-01,0.641,154,The Lightning Orchid,0,0
Jul 02 2014,2014-07-02,0.647,151,The Lightning Orchid,0,0
Jul 03 2014,2014-07-03,0.663,159,The Lightning Orchid,0,0
Jul 04 2014,2014-07-04,0.526,224,The Lightning Orchid,0,0
Jul 05 2014,2014-07-05,0.519,174,The Lightning Orchid,0,0
Jul 06 2014,2014-07-06,0.507,150,The Lightning Orchid,0,0
Jul 07 2014,2014-07-07,0.546,140,The Lightning Orchid,0,0
Jul 08 2014,2014-07-08,0.508,134,The Lightning Orchid,0,0
Jul 09 2014,2014-07-09,0.515,154,The Lightning Orchid,0,0
Jul 10 2014,2014-07-10,0.543,162,The Lightning Orchid,0,0
Jul 11 2014,2014-07-11,0.565,171,The Lightning Orchid,0,0
Jul 12 2014,2014-07-12,0.571,186,The Lightning Orchid,0,0
Jul 13 2014,2014-07-13,0.592,161,The Lightning Orchid,0,0
Jul 14 2014,2014-07-14,0.599,157,The Lightning Orchid,0,0
Jul 15 2014,2014-07-15,0.547,170,The Lightning Orchid,0,0
Jul 16 2014,2014-07-16,0.589,148,The Lightning Orchid,0,0
Jul 17 2014,2014-07-17,0.467,176,The Lightning Orchid,0,0
