Month,Avg. Players,Gain,% Gain,Peak Players
7/1/2025,426672.70,15549.40,0.0378,657349
6/1/2025,411123.30,2135.60,0.0052,650259
5/1/2025,408987.70,15814.50,0.0402,657074
4/1/2025,393173.20,-9678.00,-0.0240,630716
3/1/2025,402851.20,-28897.50,-0.0669,656279
2/1/2025,431748.70,-14742.50,-0.0330,708043
1/1/2025,446491.20,8855.50,0.0202,719825
12/1/2024,437635.70,-17320.50,-0.0381,744163
11/1/2024,454956.20,44274.70,0.1078,797599
10/1/2024,410681.50,-16130.20,-0.0378,706726
9/1/2024,426811.70,-22986.40,-0.0511,726385
8/1/2024,449798.10,-25595.60,-0.0538,734381
7/1/2024,475393.70,-11280.70,-0.0232,801126
6/1/2024,486674.30,-26244.90,-0.0512,869492
5/1/2024,512919.20,56368.40,0.1235,943059
4/1/2024,456550.80,27632.30,0.0644,921133
3/1/2024,428918.50,996.10,0.0023,729865
2/1/2024,427922.40,-12307.00,-0.0280,741290
1/1/2024,440229.40,4711.70,0.0108,736488
12/1/2023,435517.70,1790.00,0.0041,802728
11/1/2023,433727.60,-1893.30,-0.0043,767353
10/1/2023,435621.00,-1652.40,-0.0038,780443
9/1/2023,437273.40,-7045.80,-0.0159,777466
8/1/2023,444319.20,5809.00,0.0132,855495
7/1/2023,438510.20,17173.80,0.0408,702381
6/1/2023,421336.40,-11884.30,-0.0274,679525
5/1/2023,433220.70,3994.20,0.0093,711816
4/1/2023,429226.50,10482.00,0.0250,809580
3/1/2023,418744.50,16897.50,0.0420,752617
2/1/2023,401847.00,-26449.60,-0.0618,680746
1/1/2023,428296.60,-40248.40,-0.0859,764490
12/1/2022,468545.00,-55139.00,-0.1053,827395
11/1/2022,523684.10,67381.40,0.1477,990057
10/1/2022,456302.70,-34422.20,-0.0701,1038848
9/1/2022,490724.90,22258.00,0.0475,867484
8/1/2022,468466.90,23872.30,0.0537,747231
7/1/2022,444594.60,-13549.00,-0.0296,684842
6/1/2022,458143.50,11226.60,0.0251,699592
5/1/2022,446916.90,-4909.90,-0.0109,691586
4/1/2022,451826.80,3103.20,0.0069,730168
3/1/2022,448723.60,-1476.50,-0.0033,740784
2/1/2022,450200.10,-35591.30,-0.0733,725851
