excel_datetime,trade_offer_delta
10/6/2013,2807
10/7/2013,7609
10/8/2013,24985
10/9/2013,23362
10/10/2013,23893
10/11/2013,26202
10/12/2013,30197
10/13/2013,28486
10/14/2013,27035
10/15/2013,26588
10/16/2013,26726
10/17/2013,27004
10/18/2013,29674
10/19/2013,33326
10/20/2013,32304
10/21/2013,28374
10/22/2013,27691
10/23/2013,27787
10/24/2013,28323
10/25/2013,31694
10/26/2013,34929
10/27/2013,35037
10/28/2013,31523
10/29/2013,32204
10/30/2013,34609
10/31/2013,33518
11/1/2013,38460
11/2/2013,33707
11/3/2013,33440
11/4/2013,27690
11/5/2013,38737
11/6/2013,39413
11/7/2013,42854
11/8/2013,46332
11/9/2013,50019
11/10/2013,50223
11/11/2013,44531
11/12/2013,42288
11/13/2013,41901
11/14/2013,34869
11/15/2013,32612
11/16/2013,66634
11/17/2013,68745
11/18/2013,56946
11/19/2013,48617
11/20/2013,49525
11/21/2013,52099
11/22/2013,44474
11/23/2013,50286
11/24/2013,45215
11/25/2013,43397
11/26/2013,46445
11/27/2013,50244
11/28/2013,50299
11/29/2013,52749
11/30/2013,55980
12/1/2013,53947
12/2/2013,49120
12/3/2013,48477
12/4/2013,48574
12/5/2013,46401
12/6/2013,50218
12/7/2013,56779
12/8/2013,55860
12/9/2013,48825
12/10/2013,47081
12/11/2013,50383
12/12/2013,49778
12/13/2013,76174
12/14/2013,69126
12/15/2013,58478
12/16/2013,53295
12/17/2013,64608
12/18/2013,54374
12/19/2013,73958
12/20/2013,101085
12/21/2013,109677
12/22/2013,113111
12/23/2013,120710
12/24/2013,119404
12/25/2013,116520
12/26/2013,151250
12/27/2013,162227
12/28/2013,171254
12/29/2013,201899
12/30/2013,211400
12/31/2013,153870
1/1/2014,225524
1/2/2014,211223
1/3/2014,106938
1/4/2014,90213
1/5/2014,82307
1/6/2014,74295
1/7/2014,74345
1/8/2014,78456
1/9/2014,75372
1/10/2014,78953
1/11/2014,86062
1/12/2014,83146
1/13/2014,72540
1/14/2014,68379
1/15/2014,70375
1/16/2014,70193
1/17/2014,73296
1/18/2014,81833
1/19/2014,79166
1/20/2014,73082
1/21/2014,71715
1/22/2014,68675
1/23/2014,71983
1/24/2014,74922
1/25/2014,80219
1/26/2014,82095
1/27/2014,79439
1/28/2014,70531
1/29/2014,69859
1/30/2014,70007
1/31/2014,79569
2/1/2014,91483
2/2/2014,83030
2/3/2014,69050
2/4/2014,68388
2/5/2014,67190
2/6/2014,75055
2/7/2014,80903
2/8/2014,93524
2/9/2014,89840
2/10/2014,74999
2/11/2014,71840
2/12/2014,82626
2/13/2014,79095
2/14/2014,84039
2/15/2014,93644
2/16/2014,91139
2/17/2014,87055
2/18/2014,88737
2/19/2014,90934
2/20/2014,102591
2/21/2014,102984
2/22/2014,104545
2/23/2014,95286
2/24/2014,91844
2/25/2014,88958
2/26/2014,88670
2/27/2014,99553
2/28/2014,99227
3/1/2014,153192
3/2/2014,119722
3/3/2014,110660
3/4/2014,136766
3/5/2014,128441
3/6/2014,211357
3/7/2014,205888
3/8/2014,234488
3/9/2014,233021
3/10/2014,222322
3/11/2014,199201
3/12/2014,217030
3/13/2014,184150
3/14/2014,212796
3/15/2014,226637
3/16/2014,213375
3/17/2014,170142
3/18/2014,185139
3/19/2014,241061
3/20/2014,228583
3/21/2014,234014
3/22/2014,177237
3/23/2014,243249
3/24/2014,292290
3/25/2014,100409
3/26/2014,246710
3/27/2014,158403
3/28/2014,258980
3/29/2014,259956
3/30/2014,237299
3/31/2014,120137
4/1/2014,113737
4/2/2014,272937
4/3/2014,290072
4/4/2014,231915
4/5/2014,94336
4/6/2014,238966
4/7/2014,283007
4/8/2014,226303
4/9/2014,244627
4/10/2014,295466
4/11/2014,249273
4/12/2014,257764
4/13/2014,276801
4/14/2014,271760
4/15/2014,382473
4/16/2014,404768
4/17/2014,403894
4/18/2014,395087
4/19/2014,403318
4/20/2014,285786
4/21/2014,377571
4/22/2014,402458
4/23/2014,370153
4/24/2014,416632
4/25/2014,419114
4/26/2014,443434
4/27/2014,476391
4/28/2014,387134
4/29/2014,456946
4/30/2014,456499
5/1/2014,449234
5/2/2014,327728
5/3/2014,399589
5/4/2014,470549
5/5/2014,430281
5/6/2014,443589
5/7/2014,471815
5/8/2014,496087
5/9/2014,390355
5/10/2014,427954
5/11/2014,400817
5/12/2014,394369
5/13/2014,405650
5/14/2014,477204
5/15/2014,528778
5/16/2014,413276
5/17/2014,438509
5/18/2014,479159
5/19/2014,482637
5/20/2014,572886
5/21/2014,577443
5/22/2014,493043
5/23/2014,510684
5/24/2014,564803
5/25/2014,582856
5/26/2014,600707
5/27/2014,632803
5/28/2014,568509
5/29/2014,461002
5/30/2014,554594
5/31/2014,673341
6/1/2014,736869
6/2/2014,566132
6/3/2014,676214
6/4/2014,615666
6/5/2014,740015
6/6/2014,756082
6/7/2014,682452
6/8/2014,668510
6/9/2014,677962
6/10/2014,568955
6/11/2014,614058
6/12/2014,612719
6/13/2014,689253
6/14/2014,1053744
6/15/2014,1213300
6/16/2014,1205380
6/17/2014,835532
6/18/2014,786405
6/19/2014,906033
6/20/2014,299138
6/21/2014,1187422
6/22/2014,1169590
6/23/2014,1081078
6/24/2014,994741
6/25/2014,931815
6/26/2014,858732
6/27/2014,840877
6/28/2014,1114214
6/29/2014,1074448
6/30/2014,598597
7/1/2014,507067
7/2/2014,587762
7/3/2014,552966
7/4/2014,493444
7/5/2014,435175
7/6/2014,478935
7/7/2014,606089
7/8/2014,893278
7/9/2014,1124726
7/10/2014,1068966
7/11/2014,871703
7/12/2014,833199
7/13/2014,844294
7/14/2014,905853
7/15/2014,642107
